"","LocID","Location","Mid2020Pop","PopDensity","CDR_year","Days_Est","CCMR_Est","CCDR_Est","Days_Proj","CCMR_Proj","CCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"33","0400000US36","New York",19779.5400934753,161.716855600784,"7.827",92,6.42851966181083,5.99045888727293,176,3.53081766294202,3.29021596899858,NA,NA,NA,NA
"31","0400000US34","New Jersey",9008.04331331708,468.807550082077,"8.311",88,5.82172485860626,5.40106699782616,172,3.20227960574295,2.97089387019411,NA,NA,NA,NA
"7","0400000US09","Connecticut",3613.79366520339,287.960864505912,"8.726",86,4.67027134986197,4.64468417059264,170,2.54653465875886,2.53258287010505,NA,NA,NA,NA
"22","0400000US25","Massachusetts",6985.56101543013,344.111220791325,"8,572",90,4.2745204116096,3.9854207755833,174,2.90745591663858,2.71081527246718,NA,NA,NA,NA
"9","0400000US11","District of Columbia",712.330350669185,4477.24921853667,"7.154",85,4.0676621568872,2.8168688510683,169,3.06633350955621,2.12344561001244,NA,NA,NA,NA
"19","0400000US22","Louisiana",4713.2339038201,41.7705834104667,"9.778",84,3.17006752125454,2.58013626364466,168,1.67343455543015,1.36201804925363,NA,NA,NA,NA
"40","0400000US44","Rhode Island",1070.32925478766,395.466194268486,"9.585",92,2.68527814218521,2.66870338409511,176,2.26676270108701,2.25277121066077,NA,NA,NA,NA
"23","0400000US26","Michigan",10114.527506748,68.7428043123974,"9.797",82,2.58409500237179,2.42310970430862,166,1.39160298926244,1.30490818051648,NA,NA,NA,NA
"184","56","Belgium",11589.616,382.748,"9.782",118,2.33756349274931,2.53362542492451,202,1.39894248501582,1.51627806433375,78.5577855999259,83.1793855344648,-0.947152319025633,-0.816440415996198
"21","0400000US24","Maryland",6109.60504574627,241.330883491911,"8.249",79,2.26049260837805,1.92001472398561,163,1.24761435996951,1.05969731204568,NA,NA,NA,NA
"14","0400000US17","Illinois",12887.4028923922,89.5041822807968,"8.571",83,2.08770738564842,1.84427785843956,167,1.22636156524222,1.08336613491217,NA,NA,NA,NA
"215","678","Sao Tome and Principe",219.161,228.293,"4.744",56,1.99546226929358,0.357858247720039,NA,NA,NA,NA,NA,NA,NA
"39","0400000US42","Pennsylvania",12966.1696321074,111.697691663852,"10.594",87,1.76308886537537,1.80232952428445,171,1.03630874653274,1.05937362933349,NA,NA,NA,NA
"83","218","Ecuador",17643.06,71.038,"5.1535",93,1.75909396245634,0.749039839954615,177,1.58039220587305,0.672946840940598,73.645342055365,79.1610481705407,-0.852024559092769,-0.835988093783982
"127","372","Ireland",4937.796,71.677,"6.2745",93,1.74871998066626,1.31666422728657,177,0.941333374843221,0.708758402894664,80.2162272857083,83.5200755336557,-0.606257612812897,-0.486923324827686
"8","0400000US10","Delaware",979.25385992131,193.432861219024,"9.541",82,1.72596746182822,1.66821885821194,166,0.961575118707292,0.929402078597553,NA,NA,NA,NA
"253","826","United Kingdom",67886.004,280.602,"9.421",122,1.66431247789403,1.70451924081435,206,1.13433309163964,1.16173651635345,78.9801973507234,82.432173346571,-0.809582832102862,-0.655544263767098
"15","0400000US18","Indiana",6767.58715110057,72.8452627357881,"9.839",87,1.53182105452439,1.32654623293907,171,0.858153646322092,0.743155007204775,NA,NA,NA,NA
"231","724","Spain",46754.783,93.735,"9.2625",122,1.45103751670223,1.74059197323191,206,1.1478878942284,1.37694886029197,80.0504316344502,85.548053504755,-0.879345559642886,-0.812747684809608
"70","175","Mayotte",272.813,727.501,"2.7485",79,1.43879117284726,0.356622079008355,NA,NA,NA,NA,NA,NA,NA
"6","0400000US08","Colorado",5762.20440763618,21.448126771115,"6.788",87,1.37569957470931,1.05497220979968,171,1.67449089373119,1.28410402309117,NA,NA,NA,NA
"25","0400000US28","Mississippi",3019.79792102733,24.8529947478267,"10.817",81,1.33580173784512,1.09828295777629,165,0.84627674472147,0.695800357161798,NA,NA,NA,NA
"176","528","Netherlands",17134.873,508.152,"8.9565",95,1.28676516295851,1.34342832212474,179,0.700259827450987,0.731096016681772,80.3083897871593,83.6919980688273,-0.453049052138596,-0.368563997101987
"129","380","Italy",60461.828,205.555,"10.7035",123,1.23560711519019,1.64450866421042,207,0.951337324081776,1.26616499112537,80.7351550980547,85.0127120912632,-0.734434037029899,-0.645538911640955
"194","604","Peru",32971.846,25.759,"5.6705",87,1.20977712850824,0.574923098393368,171,2.69393362869754,1.28023966743915,73.0563556270697,78.5016927606094,-1.22881013856795,-1.15583767471921
"236","752","Sweden",10099.27,24.612,"9.1355",122,1.20378795090416,1.3055399053595,206,0.85287939013214,0.924970280222407,80.5687062022711,84.142681605908,-0.644927181307395,-0.530417030366351
"254","830","Channel Islands",173.859,915.047,"7.8875",84,1.13164580545937,1.12776116606807,NA,NA,NA,NA,NA,NA,NA
"94","250","France",65273.512,119.209,"9.3895",129,1.07658585429034,1.25205173506657,213,0.712253221558709,0.828338843860412,79.3161407623166,85.0422712979873,-0.5604495332054,-0.54775261736431
"11","0400000US13","Georgia",10628.5100183138,70.8522461465029,"7.968",90,1.0711426168194,0.785516187337725,174,0.74464497677593,0.546081048305296,NA,NA,NA,NA
"238","76","Brazil",212559.409,25.431,"6.631",96,1.01729217046411,0.525780653633639,180,2.32896449992848,1.20370972333669,71.353417721155,78.5564582680254,-1.09544854815394,-1.14767584048086
"258","840","United States of America",331002.647,36.185,"8.9285",131,1,0.881048418862421,215,0.788667871043982,0.694854580790891,75.9070794126296,80.9828472735391,-0.548954062624659,-0.515762069680804
"125","364","Iran (Islamic Republic of)",83992.953,51.575,"4.846",103,0.890645593219387,0.329859156877056,NA,NA,NA,NA,NA,NA,NA
"24","0400000US27","Minnesota",5677.1238172982,27.5312287006106,"9.957",87,0.865249434312567,0.778077336599742,171,0.717563661471661,0.645270601074948,NA,NA,NA,NA
"36","0400000US39","Ohio",11827.2145731466,111.5068048666,"10.606",83,0.853390107825868,0.80346653267906,167,0.635213984684141,0.598053777637127,NA,NA,NA,NA
"150","442","Luxembourg",625.976,241.69,"7.108",92,0.831939415389987,0.699082226238983,176,0.432046765009096,0.363050732703084,80.0580717723551,84.2055364110814,-0.270647862701935,-0.249605959793925
"47","0400000US51","Virginia",8614.99030275393,84.0009897088085,"8.097",85,0.816002302283212,0.687242588468324,169,0.768834932265797,0.647517914443126,NA,NA,NA,NA
"32","0400000US35","New Mexico",2121.62429930334,6.74958578869401,"8.943",82,0.811518499815368,0.748942972739262,166,0.625752522474227,0.577501257811823,NA,NA,NA,NA
"16","0400000US19","Iowa",3194.0371444529,22.0710712322956,"9.705",84,0.749321288360959,0.729819761996135,168,0.727999594104842,0.709052977348401,NA,NA,NA,NA
"30","0400000US33","New Hampshire",1372.56699845513,59.0841859459737,"9.312",91,0.715802311654308,0.717913673062006,175,0.531704472230125,0.533272810701082,NA,NA,NA,NA
"162","484","Mexico",128932.753,66.325,"6.1355",94,0.694167271555118,0.299874284242396,178,0.0200891389444423,0.00867833504814314,72.3471972611334,77.8748491698292,-0.00968810007124432,-0.124131349210316
"29","0400000US32","Nevada",3070.50933943794,10.7965868031263,"8.224",88,0.692810249832087,0.564838180693625,172,0.588003629331417,0.479390858194293,NA,NA,NA,NA
"190","591","Panama",4314.768,58.041,"5.155",84,0.680516945425462,0.339299818669277,168,0.512067735278115,0.255312510429298,75.3021265032644,81.4487417251058,-0.328551582071213,-0.41563182909475
"1","0400000US01","Alabama",4944.68561649065,37.6184494773073,"10.921",80,0.658777166284576,0.582898534618182,164,0.424789543954558,0.375861847320428,NA,NA,NA,NA
"139","414","Kuwait",4270.563,239.65,"2.969",99,0.658473945531429,0.183525585679822,NA,NA,NA,NA,NA,NA,NA
