,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
245,New York,U.S.A.,19780,161.7,7.83,90,6.29,4.82,5.94,201,2.97,2.28,2.81,75.9,81.2,-2.13,-1.92
243,New Jersey,U.S.A.,9008,468.8,8.31,88,5.75,4.42,5.45,199,2.69,2.07,2.55,75.8,80.8,-1.87,-1.62
219,Connecticut,U.S.A.,3614,288,8.73,84,5,3.59,4.43,195,2.21,1.59,1.96,76.3,81.7,-1.42,-1.28
234,Massachusetts,U.S.A.,6986,344.1,8.57,83,4.73,3.62,4.47,194,2.19,1.68,2.07,75.9,81.4,-1.46,-1.31
136,San Marino,Cntry/Terr,34,565.6,NA,97,4.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,Rhode Island,U.S.A.,1070,395.5,9.59,75,3.75,2.69,3.32,186,2.4,1.72,2.12,75.8,80.8,-1.42,-1.26
115,Belgium,Cntry/Terr,11590,382.7,9.78,89,3.42,2.25,2.78,142,2.47,1.62,2,78.4,83.1,-1.07,-0.93
221,District of Columbia,U.S.A.,712,4477.2,7.15,77,3.35,3.45,4.26,188,1.87,1.93,2.38,73.4,79.6,-1.52,-1.55
25,Andorra,Cntry/Terr,77,164.4,NA,81,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Louisiana,U.S.A.,4713,41.8,9.78,89,2.61,2.29,2.82,200,1.35,1.18,1.46,72.8,78.5,-0.88,-0.81
235,Michigan,U.S.A.,10115,68.7,9.8,85,2.55,1.94,2.39,196,1.62,1.23,1.52,74.6,79.6,-0.98,-0.87
172,United Kingdom,Cntry/Terr,67886,280.6,9.42,98,2.28,1.59,1.96,151,1.57,1.09,1.35,79,82.4,-0.79,-0.65
151,Spain,Cntry/Terr,46755,93.7,9.26,100,2.12,1.26,1.56,153,1.38,0.82,1.01,80.3,85.7,-0.65,-0.62
233,Maryland,U.S.A.,6110,241.3,8.25,83,2.07,1.74,2.15,194,1.33,1.12,1.38,75.4,80.9,-0.98,-0.92
251,Pennsylvania,U.S.A.,12966,111.7,10.59,84,2.05,1.43,1.77,195,1.04,0.72,0.89,74.9,80.4,-0.58,-0.56
226,Illinois,U.S.A.,12887,89.5,8.57,86,2.04,1.65,2.04,197,1.08,0.87,1.07,75.9,81,-0.76,-0.7
220,Delaware,U.S.A.,979,193.4,9.54,77,2.01,1.49,1.83,188,1.41,1.04,1.28,75.1,80.6,-0.84,-0.78
156,Sweden,Cntry/Terr,10099,24.6,9.14,89,1.96,1.29,1.59,142,2.18,1.43,1.77,80.2,83.8,-1.02,-0.84
67,Italy,Cntry/Terr,60462,205.6,10.7,111,1.86,1,1.23,164,1.3,0.7,0.86,80.9,85.1,-0.59,-0.53
112,Sint Maarten (Dutch part),Cntry/Terr,43,1261.2,NA,71,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Montserrat,Cntry/Terr,5,50,NA,48,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,Indiana,U.S.A.,6768,72.8,9.84,86,1.5,1.23,1.52,197,0.81,0.67,0.83,74.1,79.4,-0.5,-0.49
174,Isle of Man,Cntry/Terr,85,149.2,NA,71,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,France,Cntry/Terr,65274,119.2,9.39,118,1.39,0.86,1.06,171,1.13,0.7,0.86,79.3,85,-0.61,-0.6
65,Ireland,Cntry/Terr,4938,71.7,6.27,93,1.36,1.29,1.59,146,0.88,0.83,1.03,80.2,83.5,-0.61,-0.5
109,Netherlands,Cntry/Terr,17135,508.2,8.96,98,1.32,0.9,1.12,151,0.93,0.64,0.79,80.3,83.7,-0.48,-0.4
237,Mississippi,U.S.A.,3020,24.9,10.82,80,1.31,1.14,1.41,191,0.97,0.85,1.04,71.7,77.8,-0.54,-0.53
173,Channel Islands,Cntry/Terr,174,915,7.89,78,1.29,0.93,1.14,NA,NA,NA,NA,NA,NA,NA,NA
177,United States of America,Cntry/Terr,331003,36.2,8.93,102,1.23,1,1.23,213,0.88,0.71,0.88,75.8,80.9,-0.68,-0.64
218,Colorado,U.S.A.,5762,21.4,6.79,86,1.17,1.09,1.34,197,1.4,1.31,1.61,76.6,81.5,-1.22,-1.06
242,New Hampshire,U.S.A.,1373,59.1,9.31,71,1.16,0.82,1.02,182,0.98,0.7,0.86,75.8,81.4,-0.55,-0.54
236,Minnesota,U.S.A.,5677,27.5,9.96,78,1.06,0.84,1.04,189,0.75,0.59,0.73,77.9,82.4,-0.55,-0.51
244,New Mexico,U.S.A.,2122,6.7,8.94,74,0.98,0.76,0.94,185,1.07,0.83,1.02,74.5,80.5,-0.7,-0.68
228,Iowa,U.S.A.,3194,22.1,9.71,78,0.94,0.69,0.85,189,1.06,0.77,0.96,76.2,81.1,-0.64,-0.6
223,Georgia,U.S.A.,10629,70.9,7.97,87,0.94,0.92,1.13,198,1.04,1.02,1.25,74.4,79.6,-0.81,-0.73
248,Ohio,U.S.A.,11827,111.5,10.61,83,0.93,0.7,0.87,194,0.55,0.42,0.51,74.2,79.5,-0.32,-0.32
30,Ecuador,Cntry/Terr,17643,71,5.15,89,0.87,1.45,1.8,142,0.91,1.53,1.89,73.6,79.1,-0.91,-0.9
7,Canada,Cntry/Terr,37742,4.2,7.83,94,0.83,0.61,0.76,147,0.54,0.4,0.49,80.3,84.2,-0.31,-0.3
157,Switzerland,Cntry/Terr,8655,219,8.11,99,0.83,0.55,0.68,152,0.95,0.63,0.78,81.5,85.3,-0.53,-0.46
158,Brazil,Cntry/Terr,212559,25.4,6.63,86,0.82,1.13,1.4,139,2.06,2.84,3.51,71,78.2,-1.41,-1.46
122,Bermuda,Cntry/Terr,62,1245.5,NA,66,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Peru,Cntry/Terr,32972,25.8,5.67,84,0.8,1.21,1.49,137,1.6,2.4,2.97,73.1,78.5,-1.22,-1.16
259,Virginia,U.S.A.,8615,84,8.1,83,0.78,0.66,0.81,194,0.49,0.41,0.51,76.6,81.3,-0.37,-0.36
213,Alabama,U.S.A.,4945,37.6,10.92,78,0.72,0.58,0.71,189,0.53,0.43,0.53,72.6,78.2,-0.29,-0.3
86,Luxembourg,Cntry/Terr,626,241.7,7.11,91,0.71,0.6,0.74,144,0.47,0.4,0.49,80,84.2,-0.28,-0.26
215,Arizona,U.S.A.,7262,24.7,8.23,82,0.7,0.54,0.67,193,1.24,0.96,1.19,76.2,81.6,-0.94,-0.87
241,Nevada,U.S.A.,3071,10.8,8.22,82,0.67,0.59,0.72,193,0.45,0.39,0.48,75.6,80.7,-0.34,-0.34
98,Monaco,Cntry/Terr,39,26338.3,NA,57,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Portugal,Cntry/Terr,10197,111.3,10.87,87,0.62,0.36,0.44,140,0.55,0.32,0.39,79,84.7,-0.21,-0.21
13,Chile,Cntry/Terr,19116,25.7,6.36,83,0.61,0.65,0.81,136,1.17,1.26,1.55,77.2,81.8,-0.8,-0.74
238,Missouri,U.S.A.,6200,34.7,10.12,84,0.61,0.47,0.58,195,0.39,0.3,0.37,74.8,79.9,-0.24,-0.26
222,Florida,U.S.A.,21586,154.3,9.7,90,0.54,0.34,0.42,201,0.55,0.35,0.44,76.8,82.3,-0.38,-0.39
260,Washington,U.S.A.,7628,44.2,7.7,107,0.54,0.46,0.57,218,0.32,0.28,0.34,77.6,82.2,-0.29,-0.3
97,Mexico,Cntry/Terr,128933,66.3,6.14,85,0.53,0.88,1.09,138,1.07,1.77,2.18,71.5,77.2,-0.87,-0.82
240,Nebraska,U.S.A.,1952,9.8,8.79,75,0.53,0.42,0.52,186,1.97,1.56,1.92,76.2,80.7,-1.28,-1.11
18,Mayotte,Cntry/Terr,273,727.5,2.75,72,0.52,1.5,1.86,NA,NA,NA,NA,NA,NA,NA,NA
262,Wisconsin,U.S.A.,5883,41.8,9.09,84,0.51,0.38,0.47,195,0.56,0.42,0.52,76.8,81.3,-0.37,-0.36
253,South Carolina,U.S.A.,5145,66,9.84,83,0.5,0.4,0.5,194,0.87,0.7,0.86,73.8,79.4,-0.53,-0.51
246,North Carolina,U.S.A.,10501,83.2,9.07,78,0.49,0.41,0.51,189,1.16,0.97,1.2,74.8,79.9,-0.76,-0.69
217,California,U.S.A.,40011,99,6.78,93,0.49,0.42,0.52,204,0.4,0.35,0.43,78.3,83.2,-0.38,-0.38
247,North Dakota,U.S.A.,770,4.3,8.49,73,0.48,0.37,0.46,184,0.6,0.46,0.57,77,81.8,-0.42,-0.41
230,Kentucky,U.S.A.,4520,43.9,10.82,83,0.48,0.39,0.49,194,0.37,0.31,0.38,72.7,77.8,-0.21,-0.23
