LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,93,2.19,5.08,5.83,183,1.88,4.37,5.02,NA,NA,NA,NA
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,97,1.52,4.66,5.35,187,1.93,5.91,6.78,NA,NA,NA,NA
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,110,5.58,4.61,5.30,200,3.25,2.69,3.09,75.4,80.5,-2.23,-1.93
US36,New York,U.S.A.,"19,779.540",161.7,7.83,112,5.30,4.36,5.01,202,3.04,2.51,2.88,75.9,81.1,-2.19,-1.99
BR23,Ceara,Brazil,"9,236.905",62.0,NA,100,2.49,3.69,4.24,190,1.65,2.44,2.80,NA,NA,NA,NA
BR13,Amazonas,Brazil,"4,192.173",2.7,NA,101,2.47,3.67,4.21,191,1.95,2.90,3.33,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,91,2.32,3.45,3.95,181,1.64,2.43,2.79,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,93,1.69,3.42,3.93,183,1.53,3.09,3.55,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,105,4.06,3.34,3.83,195,2.73,2.24,2.58,75.6,81.1,-1.80,-1.61
BR15,Para,Brazil,"8,701.617",7.0,NA,94,2.24,3.32,3.81,184,1.50,2.22,2.55,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,107,2.24,3.24,3.72,197,1.79,2.59,2.97,NA,NA,NA,NA
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,106,4.13,3.19,3.66,196,2.38,1.83,2.10,76.2,81.6,-1.53,-1.38
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,99,2.88,3.18,3.66,189,1.70,1.88,2.16,73.5,79.7,-1.39,-1.44
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,107,2.02,3.00,3.44,197,2.04,3.02,3.47,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,91,2.01,2.98,3.42,181,2.15,3.19,3.66,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,115,4.77,2.86,3.28,205,2.65,1.59,1.83,73.8,85.0,-0.96,-1.38
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,95,1.62,2.79,3.20,185,1.27,2.18,2.50,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,101,1.86,2.76,3.17,191,2.05,3.04,3.49,NA,NA,NA,NA
IT03,Lombardia,Italy,"10,073.686","422,224.8",9.90,133,4.55,2.66,3.06,223,3.02,1.76,2.02,78.7,84.5,-1.81,-1.66
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,122,3.82,2.66,3.05,212,2.34,1.63,1.87,75.0,86.0,-1.13,-1.68
BR12,Acre,Brazil,892.059,5.4,NA,88,1.76,2.61,3.00,178,1.87,2.78,3.19,NA,NA,NA,NA
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,97,3.38,2.61,2.99,187,2.44,1.88,2.16,75.8,80.8,-1.45,-1.30
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,93,1.67,2.48,2.85,183,1.91,2.84,3.26,NA,NA,NA,NA
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,111,2.28,2.15,2.47,201,1.64,1.55,1.78,72.6,78.3,-1.07,-0.98
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,95,1.00,2.14,2.46,185,1.46,3.13,3.60,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,84,1.19,2.11,2.42,174,1.69,2.99,3.43,NA,NA,NA,NA
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,"38,701.3",11.70,115,3.69,2.04,2.34,205,3.04,1.68,1.93,76.6,83.9,-1.44,-1.33
ES17,"Rioja, La",Spain,315.741,62.6,10.00,117,3.63,2.04,2.34,207,2.59,1.45,1.67,73.9,85.5,-0.86,-1.40
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,96,1.27,2.03,2.33,186,1.38,2.19,2.52,NA,NA,NA,NA
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.78,111,2.78,1.96,2.26,201,1.55,1.10,1.26,78.6,83.2,-0.95,-0.84
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,90,1.02,1.92,2.20,180,1.25,2.35,2.70,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,86,1.25,1.86,2.14,176,1.55,2.29,2.63,NA,NA,NA,NA
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,95,1.25,1.85,2.12,185,1.75,2.60,2.98,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,87,0.99,1.85,2.12,177,1.52,2.84,3.26,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,93,1.23,1.82,2.09,183,2.58,3.83,4.39,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,97,1.17,1.74,2.00,187,1.79,2.65,3.05,NA,NA,NA,NA
US26,Michigan,U.S.A.,"10,114.528",68.7,9.80,107,2.10,1.72,1.97,197,1.18,0.97,1.11,74.8,79.8,-0.73,-0.67
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.67,106,1.05,1.70,1.95,196,2.05,3.31,3.80,72.1,77.7,-2.15,-1.97
ES07,Castilla y Leon,Spain,"2,401.521",25.5,11.91,113,3.76,1.70,1.95,203,1.46,0.66,0.76,74.7,86.4,-0.42,-0.67
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,96,1.13,1.67,1.92,186,1.10,1.63,1.87,NA,NA,NA,NA
US24,Maryland,U.S.A.,"6,109.605",241.3,8.25,105,1.83,1.66,1.90,195,1.08,0.98,1.12,75.6,81.0,-0.80,-0.77
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,109,1.11,1.65,1.89,199,1.46,2.17,2.49,NA,NA,NA,NA
ES15,Navarra (C. Foral de),Spain,651.019,62.7,8.51,111,2.67,1.64,1.89,201,1.38,0.85,0.97,75.0,86.5,-0.53,-0.83
US17,Illinois,U.S.A.,"12,887.403",89.5,8.57,108,1.83,1.59,1.82,198,1.24,1.07,1.23,75.8,80.9,-0.87,-0.80
