LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
MX02,Baja California,Mexico,3605.789,50.5,4.88,107,2.23,5.34,5.92,214,1.98,4.74,5.26,NA,NA,NA,NA,NA,NA
MX23,Quintana Roo,Mexico,1497.403,33.4,3.35,111,1.68,5.28,5.85,218,1.68,5.30,5.88,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,9008.043,468.8,8.31,124,5.13,4.39,4.87,231,3.30,2.82,3.13,75.1,80.3,77.6,-2.6,-2.17,-2.38
MX27,Tabasco,Mexico,2555.914,103.3,4.98,107,2.02,4.24,4.70,214,2.12,4.44,4.92,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,19779.540,161.7,7.83,126,4.76,4.06,4.50,233,2.81,2.40,2.66,75.7,81.0,78.3,-2.3,-2.05,-2.19
BR23,Ceara,Brazil,9236.905,62.0,NA,114,2.48,3.80,4.21,221,2.12,3.25,3.60,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,105,2.36,3.62,4.01,212,1.95,2.99,3.31,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,4192.173,2.7,NA,115,2.35,3.60,3.99,222,1.81,2.77,3.07,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,10298.920,6888.8,6.23,121,2.35,3.52,3.90,228,1.77,2.65,2.94,NA,NA,NA,NA,NA,NA
MX25,Sinaloa,Mexico,3215.596,56.0,5.59,109,1.82,3.22,3.57,216,1.64,2.90,3.22,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,8701.617,7.0,NA,108,2.10,3.21,3.56,215,1.42,2.18,2.42,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,17463.128,399.2,NA,121,2.05,3.15,3.49,228,2.22,3.40,3.77,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,6985.561,344.1,8.57,119,3.69,3.14,3.48,226,2.35,2.00,2.22,75.6,81.1,78.3,-1.8,-1.56,-1.68
BR16,Amapa,Brazil,855.439,6.0,NA,105,2.01,3.08,3.41,212,1.88,2.88,3.19,NA,NA,NA,NA,NA,NA
US11,District of Columbia,U.S.A.,712.330,4477.2,7.15,113,2.61,2.99,3.32,220,1.59,1.82,2.02,73.4,79.7,76.4,-1.5,-1.50,-1.51
US09,Connecticut,U.S.A.,3613.794,288.0,8.73,120,3.70,2.96,3.28,227,1.99,1.59,1.76,76.3,81.7,78.9,-1.5,-1.30,-1.40
BR26,Pernambuco,Brazil,9666.777,98.6,NA,115,1.92,2.94,3.26,222,2.12,3.25,3.60,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,102,1.80,2.76,3.05,209,1.62,2.48,2.75,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,4064.780,88.2,NA,107,1.80,2.75,3.05,214,1.85,2.83,3.14,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,3077.474,17.1,5.60,104,1.41,2.74,3.04,211,1.50,2.90,3.21,NA,NA,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,2021.012,25.4,9.54,129,4.26,2.65,2.93,236,2.33,1.45,1.60,73.8,85.0,79.3,-1.0,-1.38,-1.17
MX29,Tlaxcala,Mexico,1345.008,336.5,4.73,98,1.38,2.53,2.81,205,1.70,3.12,3.45,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,10073.686,422224.8,9.90,147,4.15,2.51,2.78,254,2.50,1.51,1.68,78.8,84.6,81.6,-1.7,-1.56,-1.65
ES13,Madrid (Comunidad de),Spain,6611.809,823.6,7.06,136,3.44,2.48,2.75,243,2.29,1.65,1.83,74.8,85.8,80.2,-1.3,-1.85,-1.55
US44,Rhode Island,U.S.A.,1070.329,395.5,9.59,111,3.04,2.43,2.70,218,1.63,1.30,1.44,76.1,81.1,78.5,-1.1,-0.99,-1.07
MX04,Campeche,Mexico,945.785,16.4,4.64,101,1.26,2.42,2.69,208,1.47,2.83,3.14,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,2325.083,106.0,NA,107,1.58,2.41,2.68,214,1.72,2.63,2.92,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,17378.187,777.5,4.50,109,1.07,2.36,2.61,216,0.97,2.15,2.39,NA,NA,NA,NA,NA,NA
