LocID,Location,Loc_Type,Mid_2020_Pop,Density_2020,CDR_Last_Yr,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,1497.403,33.4,3.35,118,1.79,5.64,6.21,218,2.13,6.72,7.39,NA,NA,NA,NA,NA,NA,NA,NA
MX02,Baja California,Mexico,3605.789,50.5,4.88,114,2.18,5.22,5.75,214,2.13,5.12,5.63,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,2555.914,103.3,4.98,114,2.18,4.59,5.05,214,2.19,4.59,5.05,NA,NA,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,9008.043,468.8,8.31,131,4.88,4.21,4.63,231,3.12,2.69,2.96,10.79,1.97,75.2,80.4,77.7,-2.46,-2.08,-2.27
US36,New York,U.S.A.,19779.540,161.7,7.83,133,4.53,3.90,4.29,233,2.78,2.39,2.63,10.29,1.77,75.7,81.1,78.3,-2.31,-2.04,-2.18
BR14,Roraima,Brazil,612.715,2.7,NA,112,2.44,3.76,4.14,212,1.41,2.18,2.40,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,9236.905,62.0,NA,121,2.41,3.72,4.09,221,1.77,2.73,3.00,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,10298.920,6888.8,6.23,128,2.37,3.56,3.91,228,1.85,2.77,3.05,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,4192.173,2.7,NA,122,2.28,3.52,3.87,222,1.57,2.42,2.67,NA,NA,NA,NA,NA,NA,NA,NA
MX25,Sinaloa,Mexico,3215.596,56.0,5.59,116,1.93,3.44,3.79,216,1.68,2.99,3.29,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,3077.474,17.1,5.60,111,1.74,3.38,3.72,211,1.36,2.64,2.90,NA,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,112,2.09,3.22,3.55,212,1.55,2.39,2.63,NA,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,8701.617,7.0,NA,115,2.05,3.16,3.48,215,1.37,2.10,2.31,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,17463.128,399.2,NA,128,2.05,3.16,3.48,228,1.70,2.62,2.88,NA,NA,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,6985.561,344.1,8.57,126,3.53,3.03,3.33,226,2.31,1.98,2.18,10.32,1.43,75.6,81.2,78.3,-1.78,-1.54,-1.67
BR26,Pernambuco,Brazil,9666.777,98.6,NA,122,1.93,2.97,3.27,222,1.80,2.77,3.05,NA,NA,NA,NA,NA,NA,NA,NA
US11,District of Columbia,U.S.A.,712.330,4477.2,7.15,120,2.49,2.87,3.16,220,1.62,1.87,2.06,8.67,0.97,73.4,79.6,76.4,-1.54,-1.53,-1.54
BR32,Espirito Santo,Brazil,4064.780,88.2,NA,114,1.85,2.85,3.13,214,1.79,2.76,3.04,NA,NA,NA,NA,NA,NA,NA,NA
US09,Connecticut,U.S.A.,3613.794,288.0,8.73,127,3.52,2.83,3.12,227,2.12,1.71,1.88,10.58,1.31,76.2,81.6,78.8,-1.59,-1.38,-1.49
MX04,Campeche,Mexico,945.785,16.4,4.64,108,1.45,2.81,3.09,208,1.43,2.76,3.03,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,1345.008,336.5,4.73,105,1.50,2.76,3.03,205,1.56,2.88,3.17,NA,NA,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,109,1.78,2.75,3.02,209,1.59,2.44,2.69,NA,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,2325.083,106.0,NA,114,1.72,2.65,2.92,214,1.41,2.17,2.39,NA,NA,NA,NA,NA,NA,NA,NA
PER,Peru,Cntry/Terr,32971.846,25.8,5.67,127,1.54,2.59,2.85,227,2.08,3.49,3.84,7.21,1.29,71.8,77.5,74.6,-2.50,-2.15,-2.33
ES08,Castilla-La Mancha,Spain,2021.012,25.4,9.54,136,4.04,2.53,2.79,236,2.41,1.51,1.66,15.19,1.55,73.7,85.0,79.2,-1.01,-1.43,-1.22
IT03,Lombardia,Italy,10073.686,422224.8,9.90,154,3.96,2.42,2.66,254,2.50,1.53,1.68,12.15,1.73,78.8,84.5,81.6,-1.74,-1.57,-1.65
MX15,Mexico (State),Mexico,17378.187,777.5,4.50,116,1.09,2.41,2.65,216,0.84,1.86,2.04,NA,NA,NA,NA,NA,NA,NA,NA
ES13,Madrid (Comunidad de),Spain,6611.809,823.6,7.06,143,3.27,2.38,2.62,243,2.17,1.58,1.74,11.71,1.44,74.9,85.9,80.2,-1.22,-1.78,-1.49
US44,Rhode Island,U.S.A.,1070.329,395.5,9.59,118,2.90,2.34,2.57,218,1.70,1.37,1.51,10.75,1.01,76.0,81.0,78.5,-1.20,-1.04,-1.12
BR11,Rondonia,Brazil,1797.626,7.6,NA,107,1.49,2.30,2.53,207,1.54,2.37,2.61,NA,NA,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,3547.108,67.2,NA,118,1.44,2.22,2.44,218,1.01,1.56,1.71,NA,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,3524.464,3.9,NA,113,1.37,2.11,2.32,213,1.43,2.20,2.43,NA,NA,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,3375.667,121.2,NA,116,1.36,2.10,2.31,216,1.25,1.93,2.12,NA,NA,NA,NA,NA,NA,NA,NA
US22,Louisiana,U.S.A.,4713.234,41.8,9.78,132,2.10,2.07,2.27,232,1.66,1.63,1.79,11.04,1.05,72.5,78.2,75.3,-1.25,-1.08,-1.16
MX17,Morelos,Mexico,2047.959,419.8,5.49,117,1.22,2.02,2.23,217,1.07,1.77,1.95,NA,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,4064.251,72.0,NA,115,1.27,1.95,2.15,215,1.78,2.74,3.02,NA,NA,NA,NA,NA,NA,NA,NA
BR35,Sao Paulo,Brazil,46446.155,187.1,NA,130,1.27,1.95,2.15,230,1.56,2.40,2.64,NA,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,7156.397,21.7,NA,117,1.24,1.91,2.10,217,1.00,1.54,1.69,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,3049.880,529.4,NA,118,1.24,1.91,2.10,218,1.35,2.08,2.29,NA,NA,NA,NA,NA,NA,NA,NA
BR22,Piaui,Brazil,3310.800,13.2,NA,108,1.21,1.87,2.05,208,1.48,2.28,2.51,NA,NA,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,2269.237,57.4,5.71,110,1.12,1.85,2.04,210,1.60,2.65,2.91,NA,NA,NA,NA,NA,NA,NA,NA
MX12,Guerrero,Mexico,3882.954,61.1,4.86,113,1.07,1.84,2.02,213,1.38,2.37,2.61,NA,NA,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,6612.709,192.8,5.37,117,1.00,1.81,1.99,217,1.26,2.28,2.51,NA,NA,NA,NA,NA,NA,NA,NA
ES17,"Rioja, La",Spain,315.741,62.6,10.00,138,3.07,1.81,1.99,238,1.88,1.10,1.22,15.57,1.22,74.0,85.7,79.7,-0.74,-1.17,-0.95
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38701.3,11.70,136,3.12,1.80,1.98,236,1.81,1.04,1.15,13.50,1.16,77.0,84.3,80.6,-1.01,-0.92,-0.97
BEL,Belgium,Cntry/Terr,11589.616,382.7,9.78,132,2.35,1.74,1.91,232,1.40,1.04,1.14,10.82,0.89,78.5,83.1,80.8,-1.00,-0.86,-0.93
KGZ,Kyrgyzstan,Cntry/Terr,6524.191,34.0,5.93,114,0.60,1.73,1.91,214,0.89,2.59,2.85,6.37,0.52,66.6,74.7,70.6,-0.89,-0.99,-0.94
BRA,Brazil,Cntry/Terr,212559.409,25.4,6.63,130,1.11,1.71,1.89,230,1.33,2.04,2.25,7.61,0.83,70.9,78.3,74.5,-1.50,-1.45,-1.48
MEX,Mexico (Country),Cntry/Terr,128932.753,66.3,6.14,128,0.93,1.71,1.88,228,1.08,1.99,2.19,6.88,0.67,70.9,76.8,73.8,-1.42,-1.16,-1.29
MX13,Hidalgo,Mexico,3072.136,147.6,4.87,118,0.95,1.64,1.80,218,0.84,1.45,1.60,NA,NA,NA,NA,NA,NA,NA,NA
CHL,Chile,Cntry/Terr,19116.209,25.7,6.36,126,1.34,1.61,1.77,226,1.13,1.35,1.49,7.19,0.70,76.7,81.5,79.0,-1.26,-1.08,-1.17
ECU,Ecuador,Cntry/Terr,17643.060,71.0,5.15,132,0.85,1.60,1.76,232,1.71,3.19,3.51,6.32,1.08,71.9,77.8,74.8,-2.59,-2.21,-2.41
US26,Michigan,U.S.A.,10114.528,68.7,9.80,128,1.81,1.54,1.70,228,1.16,0.99,1.09,11.03,0.72,74.7,79.8,77.2,-0.83,-0.70,-0.77
US24,Maryland,U.S.A.,6109.605,241.3,8.25,126,1.62,1.53,1.68,226,1.11,1.05,1.15,9.30,0.69,75.4,81.0,78.1,-0.96,-0.85,-0.91
MX08,Chihuahua,Mexico,3832.828,15.5,7.58,106,0.74,1.51,1.66,206,1.04,2.12,2.33,NA,NA,NA,NA,NA,NA,NA,NA
US17,Illinois,U.S.A.,12887.403,89.5,8.57,129,1.66,1.51,1.66,229,1.05,0.95,1.05,9.73,0.66,75.8,80.9,78.3,-0.86,-0.74,-0.80
ES07,Castilla y Leon,Spain,2401.521,25.5,11.91,134,3.18,1.50,1.66,234,1.45,0.69,0.76,17.99,0.93,74.6,86.3,80.3,-0.49,-0.75,-0.62
ES15,Navarra (C. Foral de),Spain,651.019,62.7,8.51,132,2.25,1.45,1.59,232,1.35,0.87,0.95,13.37,0.85,74.9,86.4,80.5,-0.61,-0.92,-0.76
MYT,Mayotte,Cntry/Terr,272.813,727.5,2.75,115,0.44,1.42,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX22,Queretaro,Mexico,2094.397,179.0,4.36,116,0.66,1.41,1.55,216,0.81,1.73,1.90,NA,NA,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,99,0.79,1.39,1.53,199,1.30,2.29,2.52,NA,NA,NA,NA,NA,NA,NA,NA
US28,Mississippi,U.S.A.,3019.798,24.9,10.82,123,1.41,1.38,1.52,223,1.37,1.33,1.46,11.85,0.83,71.4,77.5,74.4,-0.87,-0.79,-0.83
MX28,Tamaulipas,Mexico,3689.743,45.9,5.26,111,0.73,1.38,1.51,211,1.03,1.95,2.14,NA,NA,NA,NA,NA,NA,NA,NA
US10,Delaware,U.S.A.,979.254,193.4,9.54,120,1.65,1.37,1.50,220,0.96,0.79,0.87,10.60,0.58,75.2,80.8,77.9,-0.68,-0.60,-0.64
GBR,United Kingdom,Cntry/Terr,67886.004,280.6,9.42,141,1.75,1.37,1.50,241,1.15,0.90,0.99,10.27,0.76,78.9,82.4,80.6,-0.93,-0.73,-0.83
MX30,Veracruz,Mexico,8831.401,122.9,5.90,116,0.84,1.35,1.49,216,0.90,1.45,1.60,NA,NA,NA,NA,NA,NA,NA,NA
ES09,Catalunia,Spain,7623.414,237.4,8.41,139,1.96,1.34,1.48,239,1.40,0.96,1.05,13.36,0.91,73.6,85.6,79.5,-0.64,-0.98,-0.81
GUF,French Guiana,Cntry/Terr,298.682,3.6,3.00,96,0.51,1.34,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT01,Piemonte,Italy,4369.052,172347.8,12.30,142,2.43,1.31,1.44,242,1.49,0.80,0.88,13.77,0.98,78.9,84.6,81.7,-0.86,-0.75,-0.80
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,114,0.55,1.31,1.44,214,0.88,2.09,2.30,NA,NA,NA,NA,NA,NA,NA,NA
MX18,Nayarit,Mexico,1255.449,45.1,5.47,113,0.80,1.30,1.43,213,1.06,1.73,1.90,NA,NA,NA,NA,NA,NA,NA,NA
IT08,Emilia-Romagna,Italy,4468.697,164493.2,11.20,150,2.34,1.30,1.43,250,1.42,0.79,0.87,12.53,0.97,79.9,85.2,82.5,-0.94,-0.83,-0.89
IT22,Trento (Provincia autonoma di),Italy,541.866,87334.4,9.30,135,2.03,1.24,1.37,235,1.24,0.76,0.83,10.55,0.79,80.1,85.8,82.9,-0.92,-0.80,-0.86
MX01,Aguascalientes,Mexico,1360.852,242.3,4.37,104,0.58,1.24,1.37,204,1.01,2.16,2.38,NA,NA,NA,NA,NA,NA,NA,NA
MX07,Chiapas,Mexico,5412.679,73.8,4.53,105,0.55,1.24,1.36,205,0.53,1.19,1.30,NA,NA,NA,NA,NA,NA,NA,NA
US42,Pennsylvania,U.S.A.,12966.170,111.7,10.59,127,1.58,1.24,1.36,227,1.00,0.78,0.86,11.59,0.62,74.9,80.4,77.6,-0.66,-0.58,-0.62
BOL,Bolivia (Plurinational State of),Cntry/Terr,11673.029,10.8,6.79,117,0.65,1.22,1.34,217,0.87,1.65,1.82,7.46,0.52,67.7,73.6,70.6,-1.19,-1.07,-1.13
IT07,Liguria,Italy,1557.702,192215.6,14.30,144,2.56,1.20,1.32,244,1.61,0.75,0.83,15.73,1.07,79.1,84.7,81.9,-0.82,-0.74,-0.78
PAN,Panama,Cntry/Terr,4314.768,58.0,5.16,137,0.75,1.20,1.32,237,1.33,2.13,2.35,6.17,0.86,73.5,79.9,76.6,-2.18,-1.95,-2.07
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.3,4.74,86,0.27,1.19,1.31,186,0.41,1.79,1.97,4.88,0.21,67.4,72.4,69.9,-0.68,-0.53,-0.61
SWE,Sweden,Cntry/Terr,10099.270,24.6,9.14,132,1.56,1.15,1.27,232,0.93,0.69,0.76,9.78,0.59,80.5,84.1,82.2,-0.73,-0.59,-0.66
BR17,Tocantins,Brazil,1590.921,5.7,NA,101,0.74,1.14,1.26,201,1.19,1.84,2.02,NA,NA,NA,NA,NA,NA,NA,NA
US18,Indiana,U.S.A.,6767.587,72.8,9.84,129,1.21,1.12,1.23,229,0.80,0.74,0.81,10.67,0.50,74.0,79.4,76.7,-0.58,-0.51,-0.54
US04,Arizona,U.S.A.,7262.286,24.7,8.23,125,1.23,1.08,1.18,225,1.27,1.11,1.22,9.41,0.78,76.0,81.5,78.7,-1.11,-0.97,-1.04
IRQ,Iraq,Cntry/Terr,40222.503,92.6,4.74,143,0.26,1.07,1.18,243,0.53,2.17,2.39,5.12,0.35,67.6,72.0,69.7,-1.09,-0.79,-0.94
MX05,Coahuila,Mexico,3150.456,20.7,5.31,117,0.53,1.05,1.16,217,1.32,2.65,2.91,NA,NA,NA,NA,NA,NA,NA,NA
ESP,Spain,Cntry/Terr,46754.783,93.7,9.26,143,1.56,1.04,1.14,243,1.08,0.72,0.79,10.41,0.72,80.1,85.6,82.8,-0.82,-0.75,-0.79
ES02,Aragon,Spain,1315.017,27.6,10.26,139,1.83,1.04,1.14,239,1.08,0.61,0.67,15.80,0.71,73.9,86.1,79.8,-0.41,-0.65,-0.53
IRL,Ireland,Cntry/Terr,4937.796,71.7,6.27,136,0.96,1.02,1.12,236,0.63,0.67,0.74,6.81,0.41,80.1,83.4,81.7,-0.72,-0.56,-0.64
IT21,Bolzano (Provincia autonoma di),Italy,531.191,71779.7,8.30,135,1.49,1.02,1.12,235,1.46,1.00,1.10,9.89,0.94,79.3,85.5,82.3,-1.15,-1.00,-1.08
USA,United States of America,Cntry/Terr,331002.647,36.2,8.93,145,1.10,1.00,1.10,245,0.99,0.90,0.99,9.73,0.66,75.6,80.7,78.1,-0.88,-0.76,-0.82
MX19,Nuevo Leon,Mexico,5360.737,83.5,4.97,111,0.50,0.98,1.08,211,1.00,1.95,2.15,NA,NA,NA,NA,NA,NA,NA,NA
US13,Georgia (USA),U.S.A.,10628.510,70.9,7.97,130,0.89,0.97,1.07,230,1.10,1.20,1.32,9.13,0.69,74.3,79.5,76.8,-0.99,-0.83,-0.91
BR29,Bahia,Brazil,15043.792,26.6,NA,118,0.63,0.97,1.06,218,0.99,1.52,1.67,NA,NA,NA,NA,NA,NA,NA,NA
MX20,Oaxaca,Mexico,4386.373,46.8,5.71,116,0.60,0.92,1.02,216,0.81,1.25,1.37,NA,NA,NA,NA,NA,NA,NA,NA
US08,Colorado,U.S.A.,5762.204,21.4,6.79,129,0.88,0.92,1.01,229,0.77,0.80,0.88,7.73,0.48,77.1,81.9,79.4,-0.79,-0.66,-0.73
ARM,Armenia,Cntry/Terr,2963.234,104.1,9.80,121,0.70,0.91,1.00,221,0.65,0.84,0.92,9.89,0.39,71.0,78.2,74.5,-0.45,-0.40,-0.43
IRN,Iran (Islamic Republic of),Cntry/Terr,83992.953,51.6,4.85,157,0.42,0.90,0.99,257,0.88,1.89,2.08,5.53,0.62,74.3,77.1,75.7,-1.40,-0.93,-1.17
KWT,Kuwait,Cntry/Terr,4270.563,239.7,2.97,113,0.32,0.90,0.99,213,0.30,0.83,0.91,3.25,0.17,74.4,76.4,75.4,-0.45,-0.27,-0.36
IT11,Marche,Italy,1529.183,162674.8,11.20,145,1.63,0.87,0.96,245,1.01,0.54,0.59,12.54,0.67,80.5,85.8,83.1,-0.64,-0.56,-0.60
ZAF,South Africa,Cntry/Terr,59308.690,48.9,9.45,120,0.31,0.87,0.96,220,0.62,1.73,1.90,9.88,0.37,60.3,67.3,63.7,-0.52,-0.47,-0.50
MX14,Jalisco,Mexico,8442.704,107.4,5.33,123,0.47,0.84,0.93,223,0.83,1.47,1.62,NA,NA,NA,NA,NA,NA,NA,NA
HND,Honduras,Cntry/Terr,9904.608,88.5,4.48,121,0.31,0.83,0.91,221,0.30,0.81,0.89,4.75,0.18,72.5,77.2,74.8,-0.64,-0.54,-0.59
ITA,Italy,Cntry/Terr,60461.828,205.6,10.70,154,1.38,0.83,0.91,254,0.90,0.54,0.60,11.54,0.62,80.8,85.1,82.9,-0.64,-0.56,-0.60
BR52,Goias,Brazil,7098.918,20.9,NA,121,0.54,0.83,0.91,221,1.20,1.84,2.03,NA,NA,NA,NA,NA,NA,NA,NA
MX11,Guanajuato,Mexico,6295.742,205.6,4.95,108,0.44,0.81,0.90,208,1.14,2.12,2.34,NA,NA,NA,NA,NA,NA,NA,NA
OMN,Oman,Cntry/Terr,5106.622,16.5,2.45,116,0.22,0.80,0.88,216,0.51,1.86,2.05,2.80,0.30,75.0,79.2,77.0,-1.38,-1.28,-1.33
ES11,Extremadura,Spain,1063.076,25.5,10.56,137,1.30,0.78,0.86,237,0.96,0.57,0.63,16.07,0.62,72.9,85.3,79.0,-0.35,-0.55,-0.45
US01,Alabama,U.S.A.,4944.686,37.6,10.92,121,0.85,0.77,0.85,221,1.13,1.02,1.13,12.05,0.68,72.2,77.9,75.0,-0.71,-0.62,-0.67
