LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,237,1.96,6.29,6.65,279,1.69,5.42,5.73,5.24,1.29,68.6,75.2,71.9,-4.01,-3.39,-3.70
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,233,1.79,4.41,4.66,275,1.76,4.31,4.56,6.06,1.32,69.6,76.3,72.9,-3.31,-2.84,-3.08
PE11,Ica,Peru,954.364,44.7,NA,246,2.65,4.11,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE17,Madre de Dios,Peru,158.084,1.9,NA,246,1.40,4.11,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,233,1.86,4.02,4.25,275,1.72,3.71,3.93,6.84,1.29,69.2,75.9,72.5,-2.80,-2.38,-2.60
PE07,Callao,Peru,"1,119.096","7,669.8",NA,246,2.50,3.78,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE24,Tumbes,Peru,252.031,54.0,NA,246,1.91,3.51,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,233,1.40,3.44,3.63,275,1.30,3.19,3.37,5.76,0.98,70.3,76.9,73.6,-2.55,-2.19,-2.37
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,235,1.85,3.40,3.59,277,1.89,3.46,3.66,7.80,1.43,69.5,76.1,72.7,-2.64,-2.24,-2.45
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,230,1.70,3.39,3.59,272,1.68,3.36,3.55,7.11,1.25,69.8,76.4,73.0,-2.56,-2.18,-2.37
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,247,2.16,3.34,3.54,289,2.46,3.81,4.03,8.73,1.94,70.3,76.8,73.5,-3.20,-2.70,-2.96
PE15,Lima,Peru,"10,693.435",307.0,NA,246,2.21,3.18,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE16,Loreto,Peru,981.170,2.7,NA,246,1.49,3.16,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,237,1.95,3.10,3.27,279,1.74,2.76,2.92,NA,NA,NA,NA,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,227,1.52,3.02,3.20,269,1.29,2.56,2.71,6.98,0.95,69.9,76.2,73.0,-1.96,-1.63,-1.80
PE18,Moquegua,Peru,197.521,12.6,NA,246,2.15,3.00,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,236,1.46,2.99,3.17,278,1.71,3.51,3.71,6.90,1.30,69.9,76.5,73.2,-2.75,-2.34,-2.55
MX06,Colima,Mexico,749.741,133.2,4.95,218,1.64,2.98,3.15,260,1.59,2.89,3.06,7.40,1.13,70.9,76.2,73.5,-2.26,-1.75,-2.01
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,224,1.55,2.94,3.11,266,1.27,2.42,2.56,7.01,0.92,70.5,76.5,73.5,-1.91,-1.56,-1.74
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,247,1.85,2.94,3.11,289,1.60,2.54,2.68,NA,NA,NA,NA,NA,NA,NA,NA
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,246,2.01,2.92,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,231,1.84,2.92,3.09,273,1.63,2.59,2.74,NA,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,232,1.80,2.85,3.02,274,1.62,2.57,2.72,NA,NA,NA,NA,NA,NA,NA,NA
