LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.52,286,0.07,0.33,0.42,6.31,0.06,63.5,66.6,65.0,-0.19,-0.13,-0.16
ALB,Albania,Cntry/Terr,"2,877.800",105.0,7.82,295,0.51,0.48,0.60,8.87,0.41,76.5,79.9,78.2,-0.56,-0.40,-0.48
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.72,297,0.08,0.14,0.18,4.92,0.06,75.7,78.2,76.9,-0.19,-0.12,-0.16
AND,Andorra,Cntry/Terr,77.265,164.4,NA,285,1.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Cntry/Terr,"32,866.268",26.4,8.33,277,0.02,0.08,0.11,7.87,0.01,58.6,64.2,61.3,-0.04,-0.03,-0.03
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.34,269,0.07,0.10,0.12,6.65,0.05,75.9,78.2,77.0,-0.11,-0.07,-0.09
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,301,1.16,1.37,1.71,8.65,0.96,72.1,78.8,75.4,-1.33,-1.31,-1.32
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,282,1.24,1.41,1.76,10.44,0.95,70.4,77.6,73.9,-1.07,-0.97,-1.02
ABW,Aruba,Cntry/Terr,106.766,593.1,8.97,262,0.64,0.65,0.81,10.01,0.46,73.4,78.3,75.8,-0.52,-0.46,-0.49
AUS,Australia,Cntry/Terr,"25,499.881",3.3,6.60,307,0.04,0.03,0.04,6.90,0.04,81.6,85.5,83.5,-0.06,-0.05,-0.06
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.87,296,0.85,0.56,0.70,10.66,0.69,78.6,83.3,80.9,-0.78,-0.65,-0.72
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.75,290,0.33,0.59,0.74,7.15,0.26,70.1,75.2,72.6,-0.44,-0.36,-0.40
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.71,275,0.58,0.95,1.19,7.53,0.43,70.9,75.6,73.2,-0.78,-0.59,-0.69
BHR,Bahrain,Cntry/Terr,"1,701.583","2,238.9",2.38,293,0.26,0.79,0.99,2.67,0.21,75.7,78.0,76.8,-0.82,-0.57,-0.70
BGD,Bangladesh,Cntry/Terr,"164,689.383","1,265.2",5.55,289,0.06,0.12,0.16,5.68,0.05,71.0,74.7,72.8,-0.11,-0.10,-0.11
