Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Quintana Roo,Mexico,"1,497.403",33.4,3.35,90,1.27,2.70,4.47,365,1.67,3.55,5.88,5.65,67.6,74.3,70.9,-5.00,-4.30,-4.66
Baja California,Mexico,"3,605.789",50.5,4.88,90,2.53,4.08,6.75,365,2.16,3.48,5.76,6.93,68.0,74.8,71.3,-4.98,-4.35,-4.68
Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,90,5.40,5.43,8.99,365,2.96,2.97,4.92,9.80,69.0,75.6,72.2,-4.54,-3.89,-4.22
Amazonas (BR),Brazil,"4,192.173",2.7,NA,90,6.49,6.68,11.07,365,2.86,2.95,4.88,NA,NA,NA,NA,NA,NA,NA
Ica,Peru,954.364,44.7,NA,90,2.70,3.05,5.06,365,2.55,2.87,4.76,14.01,68.1,72.6,70.3,-3.39,-2.98,-3.19
Baja California Sur,Mexico,727.007,9.8,3.82,90,2.75,4.42,7.32,365,1.74,2.80,4.64,6.54,68.7,75.5,72.0,-4.21,-3.67,-3.95
Callao,Peru,"1,119.096","7,669.8",NA,90,2.78,3.07,5.09,365,2.45,2.71,4.49,13.73,69.1,73.3,71.1,-3.25,-2.89,-3.07
Mexico (State),Mexico,"17,378.187",777.5,4.50,90,2.93,4.36,7.21,365,1.81,2.69,4.46,7.05,68.9,74.5,71.7,-4.18,-3.29,-3.75
Sonora,Mexico,"3,077.474",17.1,5.60,90,2.77,3.61,5.97,365,2.04,2.65,4.39,7.92,68.5,75.2,71.8,-3.91,-3.38,-3.65
Queretaro,Mexico,"2,094.397",179.0,4.36,90,3.83,5.47,9.06,365,1.84,2.63,4.36,7.17,68.7,75.2,71.9,-3.99,-3.40,-3.70
Madre de Dios,Peru,158.084,1.9,NA,90,1.00,2.10,3.48,365,1.23,2.58,4.27,7.73,65.6,70.0,67.7,-2.66,-2.22,-2.44
Tumbes,Peru,252.031,54.0,NA,90,2.16,2.85,4.72,365,1.90,2.52,4.17,12.07,66.8,71.5,69.1,-2.67,-2.29,-2.49
Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,90,2.16,2.90,4.80,365,1.86,2.49,4.13,7.50,68.9,75.6,72.2,-3.77,-3.26,-3.52
Moquegua,Peru,197.521,12.6,NA,90,3.65,3.68,6.10,365,2.47,2.48,4.11,15.46,67.8,72.4,70.0,-2.87,-2.53,-2.71
