LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PE17,Madre de Dios,Peru,158.084038,1.853259523,NA,181,7.449705692,17.97351873,25.90430319,365,4.44067604,10.71378888,15.44122993,10.9157963,60.78088106,66.02588643,63.33942027,-7.463616686,-6.178275156,-6.836620818
PE07,Callao,Peru,1119.096445,7669.772087,NA,181,13.89676759,17.67123818,25.46864186,365,8.22181148,10.45491968,15.06813514,19.43675669,63.92316499,68.96232097,66.38128986,-8.395325191,-7.249150063,-7.836215373
PE11,Ica,Peru,954.3642539,44.74736783,NA,181,12.87664063,16.7121987,24.08642786,365,7.847108658,10.18452273,14.678426,19.25420788,63.34839149,68.55706688,65.88920875,-8.176512464,-7.028560289,-7.616535793
PE25,Ucayali,Peru,552.9170258,5.410185138,NA,181,9.519076865,18.68954743,26.93627833,365,5.159906219,10.13084708,14.60106606,14.1200583,60.24503804,65.69169627,62.9019445,-6.81979564,-5.637215501,-6.242927279
PE15,Lima,Peru,10693.43489,307.0345139,NA,181,13.05279622,15.78346063,22.74788569,365,7.636274108,9.233794025,13.30818988,19.64387773,64.22748856,69.26102849,66.68287389,-7.602362732,-6.565098744,-7.096380299
PE24,Tumbes,Peru,252.0305573,53.97724605,NA,181,9.225510282,14.00051719,20.1782215,365,5.646140752,8.568511466,12.34935252,15.77987391,62.9614554,68.33164538,65.58106027,-6.507373142,-5.504450227,-6.018142452
PE18,Moquegua,Peru,197.5214462,12.55382121,NA,181,10.94447209,12.67011426,18.26078056,365,6.637253954,7.683766315,11.07421509,19.59410382,64.19306804,69.32810461,66.69796393,-6.443213797,-5.576252115,-6.02030566
PE20,Piura,Peru,2076.317853,58.22948477,NA,181,8.996469572,12.22652905,17.62146412,365,5.252567657,7.138430305,10.28825049,17.19051656,63.87681687,68.81220989,66.28432566,-5.629779129,-4.830494267,-5.239884075
PER,Peru,Cntry/Terr,32971.846,25.759,5.452,181,9.432111142,12.1147882,17.46041781,365,5.52659381,7.098465279,10.23065097,11.43240759,66.23520589,72.61901071,69.34925702,-8.049959871,-7.038519726,-7.556574435
PE14,Lambayeque,Peru,1340.72463,92.59454942,NA,181,9.263709037,11.22633327,16.17993366,365,5.731229089,6.945456461,10.01012727,18.11226826,64.63831807,69.5744925,67.04620804,-6.162323117,-5.327893109,-5.755284089
