"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"301","US34","New Jersey","U.S.A.",9008.04331331708,468.807550082077,8.31,108,5.65627214171133,4.64843784363691,5.3681444250446,200,3.25416482874411,2.67433789612352,3.08839927534208,75.4047495902421,80.5304101903562,-2.22758778859179,-1.9339818712961
"303","US36","New York","U.S.A.",19779.5400934753,161.716855600784,7.83,110,5.38835582103132,4.40874452327965,5.09133995767765,202,3.04493137652021,2.49135821313048,2.877089282997,75.8658311733494,81.1125288248867,-2.18510406192371,-1.98769325567881
"28","BR13","Amazonas","Brazil",4192.17293057506,2.68872451783482,NA,99,2.48953123532378,3.6690251089556,4.23709154484009,191,1.95381380210926,2.87949466005819,3.32531997335327,NA,NA,NA,NA
"35","BR23","Ceara","Brazil",9236.90534725089,62.0366031479368,NA,98,2.48496955511837,3.66230218900376,4.22932773117333,190,1.64662040514643,2.42675871090854,2.80248799340719,NA,NA,NA,NA
"292","US25","Massachusetts","U.S.A.",6985.56101543013,344.111220791325,8.57,103,4.09638030501761,3.34902438245876,3.86754586654179,195,2.72823704157254,2.23048928395683,2.57583063763771,75.5856725134979,81.0859535432728,-1.79671248777728,-1.61002036811554
"30","BR15","Para","Brazil",8701.61749824931,6.9843658846632,NA,92,2.24935691349324,3.3150606337085,3.82832359130865,184,1.4973216261494,2.20672493061123,2.54838690595448,NA,NA,NA,NA
"277","US09","Connecticut","U.S.A.",3613.79366520339,287.960864505912,8.73,104,4.20890532048662,3.22653508542589,3.72609184282183,196,2.37653001391141,1.82184128355881,2.10391263874587,76.2353999382263,81.5749624857678,-1.52605136976345,-1.38355310895859
"279","US11","District of Columbia","U.S.A.",712.330350669185,4477.24921853667,7.15,97,2.9186330834871,3.21335083210233,3.71086630289681,189,1.70138934510772,1.87319224837263,2.1632141513741,73.5063324151175,79.7233348456343,-1.39328928916169,-1.44338188184504
"44","BR33","Rio de Janeiro","Brazil",17463.1277039773,399.153308926044,NA,105,2.01201071168927,2.96526418947117,3.42436899512029,197,2.03641752933534,3.00123450609244,3.46590851035805,NA,NA,NA,NA
"31","BR16","Amapa","Brazil",855.439166883578,6.00431383165886,NA,89,2.0046474360434,2.95441232995421,3.41183696799055,181,2.15144096136978,3.17075391370804,3.66167420488578,NA,NA,NA,NA
"116","ES08","Castilla-La Mancha","Spain",2021.01225105443,25.4340148129828,9.54,113,4.84956315507689,2.89044021507468,3.33796020263401,205,2.6532148810722,1.58137109390095,1.82621102125123,73.7676313744808,85.0236095586771,-0.956950339194137,-1.3838619632001
"29","BR14","Roraima","Brazil",612.714545370292,2.73968048129473,NA,89,1.8994126410132,2.79931923458623,3.23273117734258,181,1.64057967873884,2.41785600000807,2.79220689694087,NA,NA,NA,NA
"38","BR26","Pernambuco","Brazil",9666.77685231734,98.5723027126215,NA,99,1.84680653535382,2.72178932863044,3.14319750034602,191,2.04838143583963,3.01886669031355,3.48627064374819,NA,NA,NA,NA
"121","ES13","Madrid (Comunidad de)","Spain",6611.80904865973,823.593553644709,7.06,120,3.88641744050501,2.68796312786723,3.10413406932778,212,2.33764838951744,1.61678789608472,1.86711132272692,74.9658862390219,85.9613180358956,-1.1301717403805,-1.68233937874007
"161","IT03","Lombardia","Italy",10073.6857528222,422224.806677475,9.9,131,4.61614134021212,2.68145660941356,3.09662016208875,223,3.0165745141986,1.75228899479812,2.02359173445092,78.7205721266798,84.4426770860953,-1.81484499610728,-1.65930514697286
"310","US44","Rhode Island","U.S.A.",1070.32925478766,395.466194268486,9.59,95,3.41950851443942,2.6222001979244,3.02818922126868,187,2.43944061539886,1.87064943324826,2.16027763822862,75.7886620195142,80.7716223731271,-1.44849619152062,-1.30077981875746
"27","BR12","Acre","Brazil",892.058753487182,5.43527423872837,NA,86,1.74133383810305,2.56634561736807,2.96368680877818,178,1.87349919300319,2.76112847398869,3.18862743206598,NA,NA,NA,NA
"43","BR32","Espirito Santo","Brazil",4064.78018187425,88.2220069157693,NA,91,1.63064655003399,2.4032167385634,2.77530107344609,NA,NA,NA,NA,NA,NA,NA,NA
"289","US22","Louisiana","U.S.A.",4713.2339038201,41.7705834104667,9.78,109,2.29470213246626,2.15101474158613,2.48405124079276,201,1.64497982768715,1.54197610613799,1.78071660117979,72.6280312541183,78.2927172145475,-1.07036248576397,-0.979645674874348
"160","IT02","Valle d'Aosta/Vallee d'Aoste","Italy",125.953172862441,38701.2513771639,11.7,113,3.75445052320096,2.06056480587028,2.37959715654092,205,3.04158771345267,1.66932246345454,1.92777969228132,76.6189786461487,83.9233773652194,-1.43502763064798,-1.33094757791208
"124","ES17","Rioja, La","Spain",315.741054775275,62.584946437121,10,115,3.68920913195072,2.05959531655494,2.3784775634995,207,2.58788456438066,1.4447527201487,1.66844034945002,NA,NA,NA,NA
"14","BEL","Belgium","Cntry/Terr",11589.616,382.748,9.782,109,2.82394677404293,1.98627897834911,2.29380983093143,201,1.55055847115546,1.09061605702572,1.25947354860319,78.5474169240075,83.1573830879415,-0.953752140061638,-0.842242760836228
"26","BR11","Rondonia","Brazil",1797.62580934679,7.56050720175407,NA,84,1.25554494615325,1.85039892952355,2.13689179715021,176,1.54623792777113,2.27881687159226,2.63164067078597,NA,NA,NA,NA
"39","BR27","Alagoas","Brazil",3375.66660282415,121.238043228151,NA,93,1.22646265741835,1.80753799005019,2.08739480030404,185,1.75323815560745,2.5838899804228,2.98394752385952,NA,NA,NA,NA
"293","US26","Michigan","U.S.A.",10114.527506748,68.7428043123974,9.8,105,2.13425971277715,1.73654382469286,2.00540877708652,197,1.18184634165724,0.961611163840126,1.11049513446656,74.8309657064755,79.8282592819185,-0.72719770305099,-0.667013174979573
"40","BR28","Sergipe","Brazil",2325.08278774056,106.045054715501,NA,91,1.16935928354587,1.72338009334602,1.9902069365071,183,2.58018360362547,3.80262689340637,4.39137857598908,NA,NA,NA,NA
"115","ES07","Castilla y Leon","Spain",2401.52100308183,25.4873599410111,11.91,111,3.82244238709366,1.71598684187315,1.98166900548337,203,1.45816678897678,0.654606340592381,0.755957484224524,74.6739878931412,86.3656546602987,-0.423762341564625,-0.668388802917946
"291","US24","Maryland","U.S.A.",6109.60504574627,241.330883491911,8.25,103,1.85533102728421,1.66597762803682,1.92391698394697,195,1.07995922426745,0.969739566882126,1.11988203882931,75.5869366607704,81.0345818031514,-0.80434177946492,-0.76792172238126
"123","ES15","Navarra (C. Foral de)","Spain",651.019466091349,62.6522438736742,8.51,109,2.72329403886656,1.665147206449,1.92295799015872,201,1.37907119205748,0.843227543620136,0.973782459740694,74.9635850619106,86.4583375753079,-0.532744216046339,-0.831307261002877
"229","PER","Peru","Cntry/Terr",32971.846,25.759,5.6705,104,1.03286895595249,1.65758545346134,1.91422546893123,196,2.05073862880174,3.29109951496054,3.80065262950353,72.1395961299972,77.691619371736,-2.14557079755504,-1.96590251668971
"36","BR24","Rio Grande do Norte","Brazil",3547.10825156365,67.1678656385944,NA,95,1.12306159556182,1.65514741673211,1.91140995677073,187,1.79064666009195,2.6390219427355,3.04761543684146,NA,NA,NA,NA
"33","BR21","Maranhao","Brazil",7156.39717615946,21.7095916934546,NA,94,1.1142656651505,1.64218413710828,1.89643960337808,186,1.10010924088488,1.62132066074509,1.8723458845647,NA,NA,NA,NA
"45","BR35","Sao Paulo","Brazil",46446.1548892569,187.117283067951,NA,107,1.08723183734284,1.60234218147819,1.85042901246714,199,1.46172263614704,2.15425979728859,2.48779872075573,NA,NA,NA,NA
"284","US17","Illinois","U.S.A.",12887.4028923922,89.5041822807968,8.57,106,1.8548301466029,1.60086554809751,1.84872375545027,198,1.23635735456431,1.067074469155,1.23228707264376,75.793865243208,80.8751616106387,-0.870987169265518,-0.80144851031551
"218","MYT","Mayotte","Cntry/Terr",272.813,727.501,2.7485,92,0.51038304785616,1.5671501304214,1.80978825980117,NA,NA,NA,NA,NA,NA,NA,NA
"278","US10","Delaware","U.S.A.",979.25385992131,193.432861219024,9.54,97,1.96124496377809,1.55017653904612,1.79018668762162,189,1.13770874332929,0.899249932950371,1.03847866243865,75.2058423357571,80.7299739573371,-0.687242692603803,-0.656113810622742
"107","ECU","Ecuador","Cntry/Terr",17643.06,71.038,5.1535,109,0.861571195335615,1.54232757161223,1.78112248321792,201,2.09097067823429,3.74311693094293,4.32265482750011,71.7789061518857,77.5591296857648,-2.71846320056069,-2.43789263413437
"117","ES09","Catalunia","Spain",7623.4136386339,237.393380831249,8.41,116,2.34669512035198,1.52814868224481,1.76474831011475,208,1.33145978966024,0.867035732671597,1.00127681410793,73.7087729484721,85.760364459142,-0.525312825475027,-0.833660692808735
"133","GBR","United Kingdom","Cntry/Terr",67886.004,280.602,9.421,118,2.00189663117989,1.49206392820039,1.72307663937965,210,1.23037214002799,0.917027312902012,1.05900847186913,78.9202503002776,82.3695650763108,-0.864417091044203,-0.714850904853222
"159","IT01","Piemonte","Italy",4369.05187057845,172347.801948834,12.3,119,2.87918937648753,1.47311620170067,1.70119528142711,211,1.89732760180643,0.970753800698127,1.12105330405608,78.8143633669712,84.5316992174881,-0.937160046727158,-0.837388596546319
"251","STP","Sao Tome and Principe","Cntry/Terr",219.161,228.293,4.744,63,0.344604238545223,1.45915096409523,1.68506783928034,155,0.111941356353872,0.473991088256579,0.547378001714789,67.9405302284026,72.6294893466389,-0.15965458992666,-0.343691210425618
"166","IT08","Emilia-Romagna","Italy",4468.69746651031,164493.194312252,11.2,127,2.74729951752317,1.45293611215689,1.67789075658988,219,1.72674350094812,0.913205121231772,1.05459449934842,79.8466934911578,85.1483849489102,-0.988063284167055,-0.886213318310894
"180","IT22","Trento (Provincia autonoma di)","Italy",541.865777301097,87334.4346726477,9.3,112,2.44245382952415,1.42391024336069,1.64437088152611,204,1.57809349717944,0.920002445267297,1.06244423690627,80.0348998946679,85.7328444213647,-1.00438967154975,-0.898173089024425
"53","BRA","Brazil","Cntry/Terr",212559.409,25.431,6.631,107,0.959001994573017,1.41335940987673,1.63218648757449,199,1.4394640739199,2.12145553978748,2.44991545804558,71.0382546798518,78.2298443154393,-1.41060594030053,-1.47429883696439
"37","BR25","Paraiba","Brazil",4064.25117834442,71.9753796076037,NA,92,0.956328902670946,1.40941985645073,1.62763698245636,184,1.55398869862261,2.29023981437937,2.64483220065104,NA,NA,NA,NA
"165","IT07","Liguria","Italy",1557.70196540183,192215.632047926,14.3,121,3.0253721211412,1.34894452654502,1.55779840097884,213,2.15005467423333,0.958660412156362,1.10708752491391,79.0229087653286,84.5742893218632,-0.944838722837929,-0.867152620522376
"309","US42","Pennsylvania","U.S.A.",12966.1696321074,111.697691663852,10.59,104,1.80464748252814,1.34649249092996,1.55496672251829,196,1.17135502819985,0.873977197737598,1.00929300970936,74.8726215716215,80.315938866606,-0.65967511443273,-0.634494283322638
"204","MEX","Mexico (Country)","Cntry/Terr",128932.753,66.325,6.1355,105,0.750738642802423,1.32396832362031,1.52895519192687,197,1.27035560692517,2.24034102870207,2.58720770460303,70.9181393398366,76.711958785194,-1.43875703219858,-1.28704061100005
"34","BR22","Piaui","Brazil",3310.8004529819,13.1508034776454,NA,85,0.862268820045859,1.27079584563088,1.46755014556802,177,1.51836705857474,2.23774129983841,2.58420546589929,NA,NA,NA,NA
