LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
MX02,Baja California,Mexico,3605.789312,50.51421603,4.88103275,100,2.23916577,5.297677141,5.960207481,214,1.755626605,4.153664306,4.673123788,NA,NA,NA,NA
MX23,Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,104,1.569948808,4.896193068,5.508513595,218,1.678280755,5.234047477,5.888620257,NA,NA,NA,NA
US34,New Jersey,U.S.A.,9008.043313,468.8075501,8.31,117,5.364595966,4.525379684,5.09132609,231,2.984817757,2.517884613,2.832772611,75.28180565,80.42702038,-2.35053883,-2.037361926
US36,New York,U.S.A.,19779.54009,161.7168556,7.83,119,5.019862492,4.215914161,4.743158644,233,2.55887928,2.149065918,2.417829252,75.92323693,81.16166919,-2.127704778,-1.938549129
MX27,Tabasco,Mexico,2555.913904,103.3279274,4.983465134,100,1.868724918,3.862822246,4.345908864,214,1.490868899,3.081759918,3.467166464,NA,NA,NA,NA
BR23,Ceara,Brazil,9236.905347,62.03660315,NA,107,2.496290601,3.776326344,4.248595739,221,1.697407061,2.567795191,2.888925033,NA,NA,NA,NA
BR13,Amazonas,Brazil,4192.172931,2.688724518,NA,108,2.413028637,3.650369716,4.106886907,222,1.716127661,2.59611525,2.920786813,NA,NA,NA,NA
BR14,Roraima,Brazil,612.7145454,2.739680481,NA,98,2.395462463,3.623796044,4.076989918,212,2.563384156,3.877823805,4.362786527,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,10298.92046,6888.846188,6.225906895,114,2.322420212,3.426991433,3.855572816,228,1.582922809,2.335780095,2.627894005,NA,NA,NA,NA
BR15,Para,Brazil,8701.617498,6.984365885,NA,101,2.163858537,3.273431384,3.682808466,215,1.35512447,2.0499986,2.306372522,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,6985.561015,344.1112208,8.57,112,3.867784248,3.245798482,3.651719778,226,2.99200673,2.510856419,2.824865467,75.14031602,80.70485202,-2.242077281,-1.991111332
US11,District of Columbia,U.S.A.,712.3303507,4477.249219,7.15,106,2.753227551,3.111444241,3.500563124,220,1.554436689,1.756681202,1.976372693,73.42219704,79.64055829,-1.477432987,-1.526138551
BR33,Rio de Janeiro,Brazil,17463.1277,399.1533089,NA,114,2.043448379,3.091277892,3.477874761,228,1.942742104,2.938931944,3.306476347,NA,NA,NA,NA
BR16,Amapa,Brazil,855.4391669,6.004313832,NA,98,2.038838188,3.08430371,3.470028383,212,1.892067145,2.862272125,3.22022941,NA,NA,NA,NA
US09,Connecticut,U.S.A.,3613.793665,287.9608645,8.73,113,3.896985816,3.066460207,3.449953362,227,2.093382212,1.647240599,1.853245391,76.20394273,81.54717723,-1.557511434,-1.411327742
MX25,Sinaloa,Mexico,3215.595895,55.99895444,5.588271531,102,1.724042358,3.018982774,3.396538377,216,1.371436388,2.401531965,2.701868838,NA,NA,NA,NA
BR26,Pernambuco,Brazil,9666.776852,98.57230271,NA,108,1.896237006,2.868580188,3.227326363,222,1.539695499,2.329213063,2.620505696,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,2021.012251,25.43401481,9.54,122,4.49626171,2.750769663,3.094782389,236,2.504228387,1.532062838,1.723663436,73.68753771,84.91635835,-1.03793482,-1.496131153
BR12,Acre,Brazil,892.0587535,5.435274239,NA,95,1.775030594,2.685222142,3.021037461,209,2.099837896,3.176582552,3.573847667,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,4064.780182,88.22200692,NA,100,1.73780615,2.628909929,2.957682813,214,1.468258832,2.221145448,2.498923087,NA,NA,NA,NA
IT03,Lombardia,Italy,10073.68575,422224.8067,9.9,140,4.341707799,2.588770435,2.912523452,254,2.50509396,1.493677944,1.680478108,78.80493851,84.53026121,-1.725992598,-1.580980811
ES13,Madrid (Comunidad de),Spain,6611.809049,823.5935536,7.06,129,3.622566949,2.571766611,2.89339312,243,2.403874686,1.706581201,1.92000716,74.77271722,85.68136814,-1.323038449,-1.955023065
US44,Rhode Island,U.S.A.,1070.329255,395.4661943,9.59,104,3.202501243,2.520767181,2.836015675,218,2.011286054,1.583132524,1.781119925,75.83911018,80.81397677,-1.398053244,-1.258416737
MX26,Sonora,Mexico,3077.473585,17.10683613,5.602295604,97,1.223617159,2.34332129,2.636378306,211,2.181824611,4.17836251,4.700910763,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,1345.007655,336.5002364,4.731028022,91,1.261907112,2.283917503,2.569545449,205,1.793147707,3.245406413,3.651278676,NA,NA,NA,NA
MX15,Mexico (State),Mexico,17378.1873,777.5366683,4.499645556,102,1.045198026,2.282458142,2.567903579,216,1.652694006,3.609081531,4.0604352,NA,NA,NA,NA
BR28,Sergipe,Brazil,2325.082788,106.0450547,NA,100,1.418297885,2.145565771,2.413891375,214,1.601717225,2.423037988,2.726064416,NA,NA,NA,NA
