LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,132,1.99,6.13,6.83,248,1.83,5.65,6.29,NA,NA,NA,NA,NA,NA,NA,NA
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,128,2.15,5.06,5.63,244,2.03,4.78,5.32,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,128,2.40,4.95,5.52,244,1.97,4.07,4.53,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,125,2.08,3.98,4.43,241,1.70,3.24,3.61,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,126,2.55,3.87,4.30,242,2.06,3.12,3.48,NA,NA,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,145,4.44,3.79,4.22,261,2.56,2.19,2.44,10.66,1.83,75.3,80.5,77.8,-2.3,-1.96,-2.15
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,130,2.04,3.58,3.99,246,1.56,2.73,3.04,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,135,2.32,3.51,3.91,251,1.69,2.56,2.85,NA,NA,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,"19,779.540",161.7,7.83,147,4.12,3.50,3.90,263,2.39,2.03,2.26,10.24,1.72,75.8,81.1,78.4,-2.3,-1.99,-2.13
MX04,Campeche,Mexico,945.785,16.4,4.64,122,1.80,3.43,3.82,238,1.76,3.34,3.72,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,142,2.31,3.42,3.81,258,2.03,3.00,3.34,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas,Brazil,"4,192.173",2.7,NA,136,2.14,3.25,3.61,252,1.26,1.91,2.12,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,142,2.06,3.12,3.47,258,1.81,2.75,3.06,NA,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,126,2.02,3.06,3.40,242,1.38,2.10,2.34,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,119,1.64,2.99,3.32,235,1.72,3.12,3.48,NA,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,"8,701.617",7.0,NA,129,1.90,2.88,3.21,245,1.16,1.76,1.96,NA,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,136,1.90,2.88,3.21,252,1.73,2.63,2.93,NA,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,128,1.89,2.87,3.19,244,1.52,2.31,2.57,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,128,1.88,2.84,3.17,244,1.70,2.58,2.88,NA,NA,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,123,1.84,2.79,3.11,239,1.79,2.72,3.03,NA,NA,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,140,3.25,2.76,3.07,256,2.11,1.79,2.00,10.37,1.48,75.5,81.1,78.2,-1.9,-1.60,-1.73
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,141,1.61,2.65,2.95,257,1.91,3.15,3.51,7.26,1.34,71.7,77.4,74.5,-2.6,-2.23,-2.42
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,134,2.25,2.57,2.86,250,1.24,1.42,1.58,8.55,0.85,73.5,79.8,76.6,-1.4,-1.36,-1.36
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,141,3.19,2.54,2.83,257,1.93,1.53,1.71,10.62,1.35,76.1,81.5,78.8,-1.6,-1.43,-1.54
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,127,1.61,2.45,2.72,243,1.46,2.21,2.46,NA,NA,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,130,1.10,2.39,2.66,246,1.24,2.69,3.00,NA,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,121,1.55,2.35,2.62,237,1.49,2.26,2.52,NA,NA,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,132,1.53,2.32,2.58,248,1.27,1.93,2.15,NA,NA,NA,NA,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,150,3.67,2.28,2.54,266,2.10,1.31,1.46,11.99,1.53,79.8,85.0,82.3,-1.6,-1.42,-1.53
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,132,1.50,2.28,2.53,248,1.54,2.34,2.60,NA,NA,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,"10,073.686","422,224.8",9.90,168,3.64,2.20,2.45,284,2.24,1.36,1.51,12.16,1.74,78.8,84.5,81.6,-1.8,-1.58,-1.67
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,157,2.98,2.15,2.39,273,1.96,1.41,1.57,9.30,1.46,80.6,85.8,83.1,-2.0,-1.80,-1.88
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,146,2.21,2.14,2.38,262,2.34,2.27,2.53,11.65,1.68,71.8,77.6,74.6,-1.9,-1.66,-1.80
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,132,2.63,2.09,2.33,248,1.51,1.20,1.34,10.76,1.02,76.0,81.0,78.5,-1.2,-1.05,-1.14
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,130,1.37,2.08,2.31,246,1.34,2.03,2.26,NA,NA,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,124,1.27,2.07,2.30,240,1.90,3.10,3.45,NA,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,129,1.36,2.06,2.29,245,1.75,2.65,2.95,NA,NA,NA,NA,NA,NA,NA,NA
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,144,1.34,2.03,2.26,260,1.27,1.92,2.14,NA,NA,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,131,1.13,2.02,2.25,247,1.32,2.35,2.61,NA,NA,NA,NA,NA,NA,NA,NA
BR22,Piaui,Brazil,"3,310.800",13.2,NA,122,1.30,1.97,2.20,238,1.09,1.65,1.84,NA,NA,NA,NA,NA,NA,NA,NA
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,131,1.17,1.92,2.13,247,1.49,2.42,2.70,NA,NA,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,113,1.08,1.88,2.09,229,1.54,2.67,2.97,NA,NA,NA,NA,NA,NA,NA,NA
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,128,0.79,1.85,2.06,244,1.10,2.57,2.86,NA,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,131,1.22,1.85,2.06,247,0.83,1.26,1.41,NA,NA,NA,NA,NA,NA,NA,NA
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,142,1.01,1.83,2.04,258,1.31,2.37,2.64,7.13,0.92,70.4,76.4,73.4,-1.9,-1.55,-1.74
KGZ,Kyrgyzstan,Cntry/Terr,"6,524.191",34.0,6.07,128,0.63,1.81,2.01,244,0.70,1.99,2.22,6.32,0.47,66.7,74.8,70.7,-0.8,-0.90,-0.85
MX12,Guerrero,Mexico,"3,882.954",61.1,4.86,127,1.06,1.79,1.99,243,1.55,2.64,2.93,NA,NA,NA,NA,NA,NA,NA,NA
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,144,1.18,1.79,1.99,260,1.27,1.93,2.15,7.68,0.91,70.8,78.1,74.4,-1.6,-1.57,-1.60
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,132,1.05,1.79,1.99,248,1.62,2.77,3.09,NA,NA,NA,NA,NA,NA,NA,NA
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,125,0.96,1.78,1.98,241,1.69,3.14,3.49,NA,NA,NA,NA,NA,NA,NA,NA
ES17,"Rioja, La",Spain,315.741,62.6,10.00,152,2.79,1.63,1.81,268,1.93,1.13,1.26,12.33,1.42,79.9,85.5,82.7,-1.4,-1.35,-1.37
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,"38,701.3",11.70,150,2.83,1.62,1.80,266,2.28,1.31,1.45,13.99,1.66,76.6,84.0,80.2,-1.4,-1.30,-1.37
CHL,Chile,Cntry/Terr,"19,116.209",25.7,6.12,140,1.35,1.60,1.78,256,1.25,1.47,1.64,7.36,0.87,76.4,81.2,78.8,-1.6,-1.33,-1.45
