,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
245,New York,U.S.A.,19780,161.7,7.83,83,6.73,5.05,6.36,163,3.55,2.67,3.36,76,81.2,-2.08,-1.86
243,New Jersey,U.S.A.,9008,468.8,8.31,81,6,4.53,5.7,161,3.17,2.39,3.01,75.8,80.9,-1.79,-1.54
219,Connecticut,U.S.A.,3614,288,8.73,77,5.27,3.71,4.67,157,2.74,1.93,2.43,76.3,81.7,-1.42,-1.27
136,San Marino,Cntry/Terr,34,565.6,NA,90,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Massachusetts,U.S.A.,6986,344.1,8.57,76,4.96,3.72,4.69,156,3.02,2.27,2.86,75.8,81.3,-1.61,-1.43
252,Rhode Island,U.S.A.,1070,395.5,9.59,68,3.8,2.67,3.37,148,2.68,1.88,2.37,76,80.9,-1.27,-1.13
115,Belgium,Cntry/Terr,11590,382.7,9.78,82,3.68,2.37,2.99,162,1.89,1.22,1.54,78.6,83.2,-0.94,-0.82
221,District of Columbia,U.S.A.,712,4477.2,7.15,70,3.49,3.52,4.44,150,2.39,2.42,3.04,73.4,79.6,-1.55,-1.57
25,Andorra,Cntry/Terr,77,164.4,NA,74,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Louisiana,U.S.A.,4713,41.8,9.78,82,2.73,2.35,2.96,162,1.41,1.21,1.53,72.9,78.6,-0.76,-0.7
235,Michigan,U.S.A.,10115,68.7,9.8,78,2.6,1.94,2.44,158,1.37,1.02,1.29,74.9,79.9,-0.68,-0.62
172,United Kingdom,Cntry/Terr,67886,280.6,9.42,91,2.37,1.62,2.04,171,1.4,0.96,1.2,79,82.4,-0.8,-0.66
151,Spain,Cntry/Terr,46755,93.7,9.26,93,2.28,1.33,1.68,173,1.64,0.96,1.2,80.1,85.5,-0.87,-0.81
251,Pennsylvania,U.S.A.,12966,111.7,10.59,77,2.14,1.46,1.84,157,1.15,0.79,0.99,75,80.4,-0.53,-0.51
233,Maryland,U.S.A.,6110,241.3,8.25,76,2.1,1.73,2.18,156,1.11,0.91,1.15,75.7,81.2,-0.67,-0.64
226,Illinois,U.S.A.,12887,89.5,8.57,79,2.06,1.63,2.06,159,1.14,0.9,1.13,76,81.1,-0.65,-0.6
220,Delaware,U.S.A.,979,193.4,9.54,70,2.06,1.49,1.88,150,1.03,0.74,0.94,75.4,80.9,-0.5,-0.48
156,Sweden,Cntry/Terr,10099,24.6,9.14,82,2.02,1.3,1.64,162,1.18,0.76,0.96,80.6,84.1,-0.64,-0.53
112,Sint Maarten (Dutch part),Cntry/Terr,43,1261.2,NA,64,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
