LocID,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
US36,New York,U.S.A.,"19,779.540",161.7,7.83,98,5.85,4.64,5.53,202,3.09,2.45,2.92,75.84,81.1,-2.2,-2.00
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,96,5.45,4.34,5.17,200,2.89,2.30,2.74,75.63,80.7,-2.0,-1.74
BR13,Amazonas,Brazil,"4,192.173",2.7,NA,87,2.72,3.90,4.65,133,2.61,3.74,4.45,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,86,2.48,3.55,4.22,132,3.88,5.56,6.62,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,91,4.47,3.55,4.22,195,2.33,1.85,2.20,75.83,81.3,-1.6,-1.39
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,92,4.65,3.46,4.12,196,2.30,1.71,2.03,76.29,81.6,-1.5,-1.34
US11,District of Columbia,U.S.A.,712.330,4477.2,7.15,85,3.19,3.40,4.05,189,1.95,2.09,2.48,73.32,79.5,-1.6,-1.62
BR15,Para,Brazil,"8,701.617",7.0,NA,80,2.31,3.31,3.94,126,2.26,3.23,3.85,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,77,1.90,2.72,3.24,123,2.80,4.00,4.77,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,93,1.90,2.72,3.23,139,3.13,4.49,5.35,NA,NA,NA,NA
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,83,3.65,2.71,3.23,187,2.11,1.57,1.87,75.98,80.9,-1.3,-1.14
BR14,Roraima,Brazil,612.715,2.7,NA,77,1.79,2.57,3.06,123,4.62,6.62,7.88,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,87,1.77,2.53,3.01,133,2.28,3.27,3.90,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,74,1.59,2.28,2.71,120,2.00,2.87,3.41,NA,NA,NA,NA
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,97,2.45,2.23,2.65,201,1.63,1.49,1.77,72.64,78.3,-1.1,-0.97
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.78,97,3.15,2.15,2.56,143,2.45,1.67,1.99,78.44,83.1,-1.1,-0.93
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,79,1.39,1.99,2.37,125,5.39,7.73,9.20,NA,NA,NA,NA
US26,Michigan,U.S.A.,"10,114.528",68.7,9.80,93,2.36,1.86,2.22,197,1.54,1.21,1.45,74.62,79.7,-0.9,-0.84
US24,Maryland,U.S.A.,"6,109.605",241.3,8.25,91,1.99,1.73,2.06,195,1.60,1.40,1.66,75.22,80.7,-1.2,-1.09
US17,Illinois,U.S.A.,"12,887.403",89.5,8.57,94,1.97,1.65,1.97,198,1.19,0.99,1.18,75.83,80.9,-0.8,-0.77
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.3,4.74,51,0.39,1.62,1.93,NA,NA,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,81,1.11,1.59,1.90,127,4.87,6.98,8.30,NA,NA,NA,NA
