age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,132,70,62,10,20,United States,2020-01-01,2021-10-16
1-4 years,63,30,33,10,20,United States,2020-01-01,2021-10-16
5-14 years,172,95,77,10,20,United States,2020-01-01,2021-10-16
15-24 years,1665,986,679,10,20,United States,2020-01-01,2021-10-16
25-34 years,7216,4450,2766,10,20,United States,2020-01-01,2021-10-16
35-44 years,18228,11525,6703,10,20,United States,2020-01-01,2021-10-16
45-54 years,45323,29495,15828,10,20,United States,2020-01-01,2021-10-16
55-64 years,101365,63165,38200,10,20,United States,2020-01-01,2021-10-16
65-74 years,163293,98108,65185,10,20,United States,2020-01-01,2021-10-16
75-84 years,189790,106521,83269,10,20,United States,2020-01-01,2021-10-16
85 years and over,196633,84493,112140,10,20,United States,2020-01-01,2021-10-16
