Data as of,Group,State,Indicator,Start week,End week,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1),All Influenza Deaths (J09-J11),"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
04/30/2020,By week,United States,Total Deaths,02/01/2020,04/25/2020,"34,521","713,386",0.97,"62,725","15,301","5,821","86,973",
04/30/2020,By week,United States,Week-ending,02/01/2020,02/01/2020,0,"57,263",0.97,"3,687",0,469,"4,156",
04/30/2020,By week,United States,Week-ending,02/08/2020,02/08/2020,0,"57,613",0.97,"3,671",0,494,"4,165",
04/30/2020,By week,United States,Week-ending,02/15/2020,02/15/2020,0,"56,871",0.97,"3,692",0,516,"4,208",
04/30/2020,By week,United States,Week-ending,02/22/2020,02/22/2020,0,"56,795",0.98,"3,556",0,536,"4,092",
04/30/2020,By week,United States,Week-ending,02/29/2020,02/29/2020,5,"56,831",0.99,"3,620",3,619,"4,241",
04/30/2020,By week,United States,Week-ending,03/07/2020,03/07/2020,25,"56,190",0.97,"3,719",14,583,"4,312",
04/30/2020,By week,United States,Week-ending,03/14/2020,03/14/2020,49,"53,940",0.95,"3,674",25,578,"4,275",
04/30/2020,By week,United States,Week-ending,03/21/2020,03/21/2020,487,"53,924",0.95,"4,138",224,495,"4,890",
04/30/2020,By week,United States,Week-ending,03/28/2020,03/28/2020,"2,659","57,299",1.03,"5,598","1,220",407,"7,397",
04/30/2020,By week,United States,Week-ending,04/04/2020,04/04/2020,"7,932","63,955",1.15,"8,643","3,813",429,"12,978",
04/30/2020,By week,United States,Week-ending,04/11/2020,04/11/2020,"11,864","65,676",1.19,"9,580","5,281",427,"16,272",
04/30/2020,By week,United States,Week-ending,04/18/2020,04/18/2020,"9,333","52,642",0.98,"6,928","3,874",210,"12,434",
04/30/2020,By week,United States,Week-ending,04/25/2020,04/25/2020,"2,167","24,387",0.45,"2,219",847,58,"3,553",
04/30/2020,By age,United States,All ages,02/01/2020,04/25/2020,"34,521","713,386",0.97,"62,725","15,301","5,821",,
04/30/2020,By age,United States,Under 1 year,02/01/2020,04/25/2020,4,"3,699",0.97,34,1,11,,
04/30/2020,By age,United States,1–4 years,02/01/2020,04/25/2020,2,712,0.97,33,2,30,,
04/30/2020,By age,United States,5–14 years,02/01/2020,04/25/2020,3,"1,063",0.97,37,0,40,,
04/30/2020,By age,United States,15–24 years,02/01/2020,04/25/2020,39,"6,334",0.97,133,16,41,,
04/30/2020,By age,United States,25–34 years,02/01/2020,04/25/2020,263,"13,430",0.97,444,109,130,,
04/30/2020,By age,United States,35–44 years,02/01/2020,04/25/2020,647,"19,374",0.97,"1,003",255,206,,
04/30/2020,By age,United States,45–54 years,02/01/2020,04/25/2020,"1,776","37,546",0.97,"2,596",728,511,,
04/30/2020,By age,United States,55–64 years,02/01/2020,04/25/2020,"4,347","90,338",0.97,"7,594","1,902","1,076",,
04/30/2020,By age,United States,65–74 years,02/01/2020,04/25/2020,"7,419","140,332",0.97,"13,037","3,256","1,267",,
04/30/2020,By age,United States,75–84 years,02/01/2020,04/25/2020,"9,416","176,370",0.97,"17,346","4,295","1,301",,
04/30/2020,By age,United States,85 years and over,02/01/2020,04/25/2020,"10,605","224,188",0.97,"20,468","4,737","1,208",,
04/30/2020,By state,United States,Total US,02/01/2020,04/25/2020,"34,521","713,386",0.97,"62,725","15,301","5,821",,
04/30/2020,By state,Alabama,Alabama,02/01/2020,04/25/2020,153,"12,427",0.91,769,43,83,,
04/30/2020,By state,Alaska,Alaska,02/01/2020,04/25/2020,,856,0.79,41,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Arizona,Arizona,02/01/2020,04/25/2020,194,"15,859",1.01,"1,115",102,105,,
04/30/2020,By state,Arkansas,Arkansas,02/01/2020,04/25/2020,26,"7,774",0.94,519,,67,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,California,California,02/01/2020,04/25/2020,"1,111","69,341",0.98,"5,947",643,552,,
04/30/2020,By state,Colorado,Colorado,02/01/2020,04/25/2020,511,"10,721",1.04,950,311,91,,
04/30/2020,By state,Connecticut,Connecticut,02/01/2020,04/25/2020,16,"1,277",0.15,95,,18,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Delaware,Delaware,02/01/2020,04/25/2020,53,"2,034",0.85,123,24,14,,
