Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,Under 1 year,4,"3,725",34,1,11,48,
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,1-4 years,2,723,33,2,30,63,
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,5-14 years,3,"1,072",37,0,40,80,
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,15-24 years,42,"6,385",133,16,41,197,
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,25-34 years,278,"13,532",458,117,130,737,
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,35-44 years,707,"19,539","1,036",278,206,"1,648",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,45-54 years,"1,929","37,899","2,675",792,513,"4,235",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,55-64 years,"4,688","91,146","7,820","2,065","1,083","11,336",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,65-74 years,"8,001","141,556","13,408","3,544","1,274","18,938",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,75-84 years,"10,196","177,917","17,804","4,648","1,308","24,500",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes,85 years and over,"11,458","225,944","20,944","5,101","1,210","28,383",
05/01/2020,02/01/2020,04/25/2020,United States,All Sexes Total,All Ages,"37,308","719,438","64,382","16,564","5,846","90,165",
05/01/2020,02/01/2020,04/25/2020,United States,Male,Under 1 year,2,"2,038",22,1,5,28,
05/01/2020,02/01/2020,04/25/2020,United States,Male,1-4 years,1,404,18,1,16,34,
05/01/2020,02/01/2020,04/25/2020,United States,Male,5-14 years,3,623,17,0,16,36,
05/01/2020,02/01/2020,04/25/2020,United States,Male,15-24 years,28,"4,705",84,11,22,120,
05/01/2020,02/01/2020,04/25/2020,United States,Male,25-34 years,193,"9,385",284,89,68,448,
05/01/2020,02/01/2020,04/25/2020,United States,Male,35-44 years,511,"12,697",654,205,111,"1,054",
05/01/2020,02/01/2020,04/25/2020,United States,Male,45-54 years,"1,388","23,460","1,627",575,303,"2,681",
05/01/2020,02/01/2020,04/25/2020,United States,Male,55-64 years,"3,149","55,646","4,726","1,379",619,"6,983",
05/01/2020,02/01/2020,04/25/2020,United States,Male,65-74 years,"5,066","81,983","7,952","2,236",704,"11,357",
05/01/2020,02/01/2020,04/25/2020,United States,Male,75-84 years,"5,810","92,436","9,855","2,657",649,"13,562",
05/01/2020,02/01/2020,04/25/2020,United States,Male,85 years and over,"4,948","88,125","9,301","2,330",490,"12,347",
05/01/2020,02/01/2020,04/25/2020,United States,Male Total,"Male, all ages","21,099","371,502","34,540","9,484","3,003","48,650",
05/01/2020,02/01/2020,04/25/2020,United States,Female,Under 1 year,2,"1,682",12,0,6,20,
05/01/2020,02/01/2020,04/25/2020,United States,Female,1-4 years,1,319,15,1,14,29,
05/01/2020,02/01/2020,04/25/2020,United States,Female,5-14 years,0,449,20,0,24,44,
05/01/2020,02/01/2020,04/25/2020,United States,Female,15-24 years,14,"1,679",49,5,19,77,
05/01/2020,02/01/2020,04/25/2020,United States,Female,25-34 years,85,"4,146",174,28,62,289,
05/01/2020,02/01/2020,04/25/2020,United States,Female,35-44 years,196,"6,839",382,73,95,594,
05/01/2020,02/01/2020,04/25/2020,United States,Female,45-54 years,541,"14,438","1,048",217,210,"1,554",
05/01/2020,02/01/2020,04/25/2020,United States,Female,55-64 years,"1,539","35,500","3,094",686,464,"4,353",
05/01/2020,02/01/2020,04/25/2020,United States,Female,65-74 years,"2,935","59,570","5,456","1,308",570,"7,581",
05/01/2020,02/01/2020,04/25/2020,United States,Female,75-84 years,"4,386","85,478","7,949","1,991",659,"10,938",
05/01/2020,02/01/2020,04/25/2020,United States,Female,85 years and over,"6,509","137,811","11,642","2,770",720,"16,035",
05/01/2020,02/01/2020,04/25/2020,United States,Female Total,"Female, all ages","16,208","347,911","29,841","7,079","2,843","41,514",
05/01/2020,02/01/2020,04/25/2020,United States,Unknown,All ages,1,25,1,1,0,1,
05/01/2020,02/01/2020,04/25/2020,United States Total,All sexes,All Ages,"37,308","719,438","64,382","16,564","5,846","90,165",
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,Under 1 year,0,38,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,5-14 years,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,15-24 years,0,86,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,25-34 years,,151,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,35-44 years,,235,14,,,15,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,45-54 years,10,471,21,,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,55-64 years,14,"1,101",75,,15,101,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,65-74 years,26,"1,546",109,,13,141,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,75-84 years,24,"1,604",128,,,152,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male,85 years and over,20,"1,171",78,10,,94,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Male Total,"Male, all ages",97,"6,425",431,30,50,548,
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,Under 1 year,0,29,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,1-4 years,0,11,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,15-24 years,0,36,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,25-34 years,0,70,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,35-44 years,,136,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,45-54 years,,322,18,0,,25,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,55-64 years,11,745,62,,,80,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,65-74 years,14,"1,162",58,,10,78,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,75-84 years,14,"1,555",98,,,113,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female,85 years and over,11,"1,928",96,,,106,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alabama,Female Total,"Female, all ages",55,"6,001",338,12,33,414,
