Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,Under 1 year,4,"3,951",36,1,11,50,
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,1-4 years,2,780,33,2,33,66,
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,5-14 years,4,"1,146",38,0,41,83,
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,15-24 years,48,"6,843",143,18,41,211,
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,25-34 years,317,"14,629",496,134,133,800,
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,35-44 years,796,"21,021","1,109",307,210,"1,784",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,45-54 years,"2,262","40,725","2,951",943,522,"4,699",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,55-64 years,"5,422","97,716","8,521","2,390","1,108","12,464",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,65-74 years,"9,359","151,727","14,646","4,164","1,305","20,935",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,75-84 years,"12,026","190,511","19,415","5,461","1,328","27,141",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes,85 years and over,"13,776","242,588","22,863","6,033","1,239","31,709",
05/06/2020,02/01/2020,05/02/2020,United States,All Sexes Total,All Ages,"44,016","771,637","70,251","19,453","5,971","99,942",
05/06/2020,02/01/2020,05/02/2020,United States,Male,Under 1 year,2,"2,172",24,1,5,30,
05/06/2020,02/01/2020,05/02/2020,United States,Male,1-4 years,1,439,18,1,19,37,
05/06/2020,02/01/2020,05/02/2020,United States,Male,5-14 years,3,667,17,0,17,37,
05/06/2020,02/01/2020,05/02/2020,United States,Male,15-24 years,32,"5,045",88,12,22,127,
05/06/2020,02/01/2020,05/02/2020,United States,Male,25-34 years,222,"10,165",309,100,69,492,
05/06/2020,02/01/2020,05/02/2020,United States,Male,35-44 years,577,"13,674",705,224,112,"1,152",
05/06/2020,02/01/2020,05/02/2020,United States,Male,45-54 years,"1,612","25,249","1,805",679,310,"2,983",
05/06/2020,02/01/2020,05/02/2020,United States,Male,55-64 years,"3,621","59,721","5,157","1,586",633,"7,691",
05/06/2020,02/01/2020,05/02/2020,United States,Male,65-74 years,"5,918","87,956","8,712","2,621",719,"12,592",
05/06/2020,02/01/2020,05/02/2020,United States,Male,75-84 years,"6,801","98,987","10,744","3,114",657,"14,990",
05/06/2020,02/01/2020,05/02/2020,United States,Male,85 years and over,"5,848","94,374","10,144","2,737",503,"13,693",
05/06/2020,02/01/2020,05/02/2020,United States,Male Total,"Male, all ages","24,637","398,449","37,723","11,075","3,066","53,824",
05/06/2020,02/01/2020,05/02/2020,United States,Female,Under 1 year,2,"1,773",12,0,6,20,
05/06/2020,02/01/2020,05/02/2020,United States,Female,1-4 years,1,341,15,1,14,29,
05/06/2020,02/01/2020,05/02/2020,United States,Female,5-14 years,1,479,21,0,24,46,
05/06/2020,02/01/2020,05/02/2020,United States,Female,15-24 years,16,"1,797",55,6,19,84,
05/06/2020,02/01/2020,05/02/2020,United States,Female,25-34 years,95,"4,463",187,34,64,308,
05/06/2020,02/01/2020,05/02/2020,United States,Female,35-44 years,219,"7,343",404,83,98,632,
05/06/2020,02/01/2020,05/02/2020,United States,Female,45-54 years,650,"15,475","1,146",264,212,"1,716",
05/06/2020,02/01/2020,05/02/2020,United States,Female,55-64 years,"1,801","37,995","3,364",804,475,"4,773",
05/06/2020,02/01/2020,05/02/2020,United States,Female,65-74 years,"3,441","63,768","5,934","1,543",586,"8,343",
05/06/2020,02/01/2020,05/02/2020,United States,Female,75-84 years,"5,225","91,521","8,671","2,347",671,"12,151",
05/06/2020,02/01/2020,05/02/2020,United States,Female,85 years and over,"7,927","148,205","12,718","3,295",736,"18,015",
05/06/2020,02/01/2020,05/02/2020,United States,Female Total,"Female, all ages","19,378","373,160","32,527","8,377","2,905","46,117",
05/06/2020,02/01/2020,05/02/2020,United States,Unknown,All ages,1,28,1,1,0,1,
05/06/2020,02/01/2020,05/02/2020,United States Total,All sexes,All Ages,"44,016","771,637","70,251","19,453","5,971","99,942",
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,Under 1 year,0,39,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,5-14 years,0,17,0,0,0,0,
