"","FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key"
"1",45001,"Abbeville","South Carolina","US",2020-05-08 02:32:32,34.22333378,-82.46170658,34,0,0,34,"Abbeville, South Carolina, US"
"2",22001,"Acadia","Louisiana","US",2020-05-08 02:32:32,30.2950649,-92.41419698,142,11,0,131,"Acadia, Louisiana, US"
"3",51001,"Accomack","Virginia","US",2020-05-08 02:32:32,37.76707161,-75.63234615,463,7,0,456,"Accomack, Virginia, US"
"4",16001,"Ada","Idaho","US",2020-05-08 02:32:32,43.4526575,-116.2415516,721,19,0,702,"Ada, Idaho, US"
"5",19001,"Adair","Iowa","US",2020-05-08 02:32:32,41.33075609,-94.47105874,3,0,0,3,"Adair, Iowa, US"
"6",21001,"Adair","Kentucky","US",2020-05-08 02:32:32,37.10459774,-85.28129668,84,13,0,71,"Adair, Kentucky, US"
"7",29001,"Adair","Missouri","US",2020-05-08 02:32:32,40.19058551,-92.60078167,12,0,0,12,"Adair, Missouri, US"
"8",40001,"Adair","Oklahoma","US",2020-05-08 02:32:32,35.88494195,-94.65859267,69,3,0,66,"Adair, Oklahoma, US"
"9",8001,"Adams","Colorado","US",2020-05-08 02:32:32,39.87432092,-104.3362578,2046,78,0,1968,"Adams, Colorado, US"
"10",16003,"Adams","Idaho","US",2020-05-08 02:32:32,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US"
"11",17001,"Adams","Illinois","US",2020-05-08 02:32:32,39.98815591,-91.18786813,40,1,0,39,"Adams, Illinois, US"
"12",18001,"Adams","Indiana","US",2020-05-08 02:32:32,40.7457653,-84.93671406,8,1,0,7,"Adams, Indiana, US"
"13",28001,"Adams","Mississippi","US",2020-05-08 02:32:32,31.47669768,-91.35326037,157,11,0,146,"Adams, Mississippi, US"
"14",31001,"Adams","Nebraska","US",2020-05-08 02:32:32,40.5244942,-98.50117804,216,3,0,213,"Adams, Nebraska, US"
"15",39001,"Adams","Ohio","US",2020-05-08 02:32:32,38.84541072,-83.4718964,5,0,0,5,"Adams, Ohio, US"
"16",42001,"Adams","Pennsylvania","US",2020-05-08 02:32:32,39.87140411,-77.21610347,151,5,0,146,"Adams, Pennsylvania, US"
"17",53001,"Adams","Washington","US",2020-05-08 02:32:32,46.98299757,-118.5601734,49,0,0,49,"Adams, Washington, US"
"18",55001,"Adams","Wisconsin","US",2020-05-08 02:32:32,43.96974651,-89.76782777,4,1,0,3,"Adams, Wisconsin, US"
"19",50001,"Addison","Vermont","US",2020-05-08 02:32:32,44.03217337,-73.14130877,61,2,0,59,"Addison, Vermont, US"
"20",45003,"Aiken","South Carolina","US",2020-05-08 02:32:32,33.54338026,-81.63645384,109,6,0,103,"Aiken, South Carolina, US"
