Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Quintana Roo,Mexico,"1,497.403",33.4,3.35,120,1.18,2.68,4.16,365,1.73,3.93,6.10,5.71,67.5,74.2,70.8,-5.15,-4.43,-4.80
Baja California,Mexico,"3,605.789",50.5,4.88,120,2.13,3.66,5.69,365,2.21,3.81,5.92,6.99,67.9,74.7,71.2,-5.10,-4.45,-4.78
Ica,Peru,954.364,44.7,NA,120,2.99,3.61,5.60,365,2.86,3.45,5.35,14.33,67.8,72.3,70.0,-3.76,-3.29,-3.53
Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,120,4.65,4.99,7.74,365,3.13,3.36,5.21,9.97,68.8,75.4,72.0,-4.75,-4.08,-4.42
Callao,Peru,"1,119.096","7,669.8",NA,120,3.22,3.80,5.89,365,2.82,3.33,5.18,14.11,68.6,73.0,70.7,-3.68,-3.25,-3.47
Amazonas (BR),Brazil,"4,192.173",2.7,NA,120,5.32,5.84,9.06,365,2.97,3.26,5.06,NA,NA,NA,NA,NA,NA,NA
Madre de Dios,Peru,158.084,1.9,NA,120,1.33,2.97,4.62,365,1.42,3.17,4.93,7.92,65.2,69.7,67.4,-3.02,-2.52,-2.77
Baja California Sur,Mexico,727.007,9.8,3.82,120,2.38,4.09,6.34,365,1.83,3.14,4.88,6.64,68.5,75.3,71.8,-4.39,-3.83,-4.12
Rondonia,Brazil,"1,797.626",7.6,NA,120,5.63,6.18,9.59,365,2.82,3.10,4.81,NA,NA,NA,NA,NA,NA,NA
Mexico (State),Mexico,"17,378.187",777.5,4.50,120,2.63,4.17,6.48,365,1.94,3.07,4.77,7.18,68.7,74.3,71.4,-4.42,-3.49,-3.97
Tumbes,Peru,252.031,54.0,NA,120,2.37,3.33,5.17,365,2.15,3.03,4.70,12.32,66.5,71.3,68.8,-2.98,-2.55,-2.77
Queretaro,Mexico,"2,094.397",179.0,4.36,120,3.30,5.02,7.80,365,1.97,3.00,4.65,7.29,68.5,75.1,71.7,-4.21,-3.59,-3.91
